,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-356000000.0,-709000000.0,-639000000.0,-847000000.0,-1293000000.0,
Repayment Of Debt,-3540000000.0,-1984000000.0,-3341000000.0,-999000000.0,-4411000000.0,
Issuance Of Debt,2614000000.0,3280000000.0,3691000000.0,1652000000.0,6277000000.0,
Capital Expenditure,-1332000000.0,-1254000000.0,-1727000000.0,-1832000000.0,-1685000000.0,
Interest Paid Supplemental Data,331000000.0,267000000.0,165000000.0,338000000.0,411000000.0,
Income Tax Paid Supplemental Data,74000000.0,60000000.0,75000000.0,61000000.0,141000000.0,
End Cash Position,2201000000.0,2566000000.0,2039000000.0,2559000000.0,2148000000.0,
Beginning Cash Position,2566000000.0,2039000000.0,2559000000.0,2148000000.0,2555000000.0,
Effect Of Exchange Rate Changes,-4000000.0,-1000000.0,-16000000.0,-4000000.0,-28000000.0,
Changes In Cash,-361000000.0,528000000.0,-504000000.0,415000000.0,-379000000.0,
Other Cash Adjustment Inside Changein Cash,118000000.0,-52000000.0,243000000.0,-133000000.0,-86000000.0,
Financing Cash Flow,145000000.0,1317000000.0,-224000000.0,1428000000.0,1153000000.0,
Cash Flow From Continuing Financing Activities,145000000.0,1317000000.0,-224000000.0,1428000000.0,1153000000.0,
Net Other Financing Charges,999000000.0,-109000000.0,159000000.0,287000000.0,128000000.0,
Cash Dividends Paid,-125000000.0,-125000000.0,-122000000.0,-123000000.0,-122000000.0,
Common Stock Dividend Paid,-125000000.0,-125000000.0,-122000000.0,-123000000.0,-122000000.0,
Net Issuance Payments Of Debt,-1181000000.0,1551000000.0,-261000000.0,1264000000.0,1147000000.0,
Net Short Term Debt Issuance,-483000000.0,255000000.0,-2000000.0,268000000.0,-376000000.0,
Short Term Debt Payments,,,,,498000000.0,-1553000000.0
Short Term Debt Issuance,,,,,-1548000000.0,2946000000.0
Net Long Term Debt Issuance,-698000000.0,1296000000.0,-259000000.0,996000000.0,1523000000.0,
Long Term Debt Payments,-2678000000.0,-1984000000.0,2856000000.0,-2054000000.0,-3356000000.0,
Long Term Debt Issuance,1980000000.0,3280000000.0,-3115000000.0,3050000000.0,4879000000.0,
Investing Cash Flow,-1600000000.0,-1282000000.0,-1611000000.0,-1865000000.0,-1838000000.0,
Cash Flow From Continuing Investing Activities,-1600000000.0,-1282000000.0,-1611000000.0,-1865000000.0,-1838000000.0,
Net Other Investing Changes,-161000000.0,-43000000.0,-69000000.0,-82000000.0,-41000000.0,
Net Investment Purchase And Sale,1000000.0,15000000.0,-28000000.0,76000000.0,-67000000.0,
Sale Of Investment,19000000.0,33000000.0,65000000.0,197000000.0,393000000.0,
Purchase Of Investment,-18000000.0,-18000000.0,-93000000.0,-121000000.0,-460000000.0,
Net Business Purchase And Sale,-108000000.0,0.0,213000000.0,-27000000.0,-45000000.0,
Sale Of Business,0.0,5000000.0,412000000.0,0.0,0.0,
Purchase Of Business,-108000000.0,-5000000.0,-199000000.0,-27000000.0,-45000000.0,
Capital Expenditure Reported,-1332000000.0,-1254000000.0,-1727000000.0,-1832000000.0,-1685000000.0,
Operating Cash Flow,976000000.0,545000000.0,1088000000.0,985000000.0,392000000.0,
Cash Flow From Continuing Operating Activities,976000000.0,545000000.0,1088000000.0,985000000.0,392000000.0,
Change In Working Capital,150000000.0,5000000.0,477000000.0,9000000.0,28000000.0,
Change In Other Working Capital,,,,,,23000000.0
Change In Other Current Liabilities,58000000.0,25000000.0,29000000.0,58000000.0,56000000.0,
Change In Other Current Assets,57000000.0,18000000.0,-250000000.0,130000000.0,138000000.0,
Change In Payables And Accrued Expense,-118000000.0,-80000000.0,306000000.0,144000000.0,-212000000.0,
Change In Payable,-118000000.0,-80000000.0,306000000.0,144000000.0,-212000000.0,
Change In Account Payable,-119000000.0,3000000.0,-74000000.0,194000000.0,-75000000.0,
Change In Tax Payable,1000000.0,-83000000.0,380000000.0,-50000000.0,-137000000.0,
Change In Income Tax Payable,1000000.0,-83000000.0,380000000.0,-50000000.0,-137000000.0,
Change In Prepaid Assets,29000000.0,169000000.0,149000000.0,-13000000.0,94000000.0,
Change In Inventory,-1000000.0,-28000000.0,28000000.0,27000000.0,-41000000.0,
Change In Receivables,125000000.0,-99000000.0,215000000.0,-337000000.0,-7000000.0,
Changes In Account Receivables,125000000.0,-99000000.0,215000000.0,-337000000.0,-7000000.0,
Other Non Cash Items,299000000.0,129000000.0,360000000.0,224000000.0,-241000000.0,
Provisionand Write Offof Assets,76000000.0,102000000.0,94000000.0,73000000.0,24000000.0,
Asset Impairment Charge,-144000000.0,49000000.0,19000000.0,271000000.0,38000000.0,
Deferred Tax,351000000.0,10000000.0,-312000000.0,139000000.0,62000000.0,
Deferred Income Tax,351000000.0,10000000.0,-312000000.0,139000000.0,62000000.0,
Depreciation Amortization Depletion,354000000.0,337000000.0,338000000.0,293000000.0,315000000.0,
Depreciation And Amortization,354000000.0,337000000.0,338000000.0,293000000.0,315000000.0,
Depreciation,354000000.0,337000000.0,,,315000000.0,318000000.0
Operating Gains Losses,40000000.0,-14000000.0,-241000000.0,-42000000.0,13000000.0,
Gain Loss On Investment Securities,86000000.0,-15000000.0,51000000.0,-57000000.0,-64000000.0,
Net Foreign Currency Exchange Gain Loss,,,16000000.0,14000000.0,,
Gain Loss On Sale Of Business,-70000000.0,1000000.0,-308000000.0,1000000.0,-1000000.0,
Net Income From Continuing Operations,-150000000.0,-73000000.0,353000000.0,18000000.0,153000000.0,
