,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Preferred Shares Number,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0
Ordinary Shares Number,778000000.0,777021683.0,776000000.0,772000000.0,771768612.0
Share Issued,778000000.0,777021683.0,776000000.0,772000000.0,771768612.0
Net Debt,87089000000.0,85973000000.0,83959000000.0,83692000000.0,82059000000.0
Total Debt,88453000000.0,87481000000.0,85230000000.0,85024000000.0,83374000000.0
Tangible Book Value,30615000000.0,30394000000.0,29850000000.0,28857000000.0,28442000000.0
Invested Capital,137351000000.0,136145000000.0,133426000000.0,132228000000.0,130194000000.0
Working Capital,-6260000000.0,-3850000000.0,-6407000000.0,-5285000000.0,-2925000000.0
Net Tangible Assets,31588000000.0,31367000000.0,30823000000.0,29830000000.0,30404000000.0
Capital Lease Obligations,1020000000.0,1033000000.0,957000000.0,956000000.0,925000000.0
Common Stock Equity,49918000000.0,49697000000.0,49153000000.0,48160000000.0,47745000000.0
Preferred Stock Equity,973000000.0,973000000.0,973000000.0,973000000.0,1962000000.0
Total Capitalization,129805000000.0,130370000000.0,126466000000.0,125657000000.0,126146000000.0
Total Equity Gross Minority Interest,52030000000.0,51794000000.0,51255000000.0,50249000000.0,50806000000.0
Minority Interest,1139000000.0,1124000000.0,1129000000.0,1116000000.0,1099000000.0
Stockholders Equity,50891000000.0,50670000000.0,50126000000.0,49133000000.0,49707000000.0
Gains Losses Not Affecting Retained Earnings,203000000.0,194000000.0,228000000.0,47000000.0,102000000.0
Other Equity Adjustments,203000000.0,194000000.0,228000000.0,47000000.0,102000000.0
Retained Earnings,4141000000.0,3986000000.0,3431000000.0,3052000000.0,2635000000.0
Additional Paid In Capital,45573000000.0,45516000000.0,45494000000.0,45060000000.0,45007000000.0
Capital Stock,974000000.0,974000000.0,973000000.0,974000000.0,1963000000.0
Common Stock,1000000.0,1000000.0,0.0,1000000.0,1000000.0
Preferred Stock,973000000.0,973000000.0,973000000.0,973000000.0,1962000000.0
Total Liabilities Net Minority Interest,137683000000.0,135682000000.0,135088000000.0,133317000000.0,130769000000.0
Total Non Current Liabilities Net Minority Interest,119275000000.0,119057000000.0,115731000000.0,115890000000.0,115287000000.0
Other Non Current Liabilities,1696000000.0,1585000000.0,1557000000.0,1731000000.0,1466000000.0
Liabilities Heldfor Sale Non Current,0.0,0.0,89000000.0,85000000.0,112000000.0
Employee Benefits,410000000.0,426000000.0,434000000.0,432000000.0,437000000.0
Non Current Pension And Other Postretirement Benefit Plans,410000000.0,426000000.0,434000000.0,432000000.0,437000000.0
Tradeand Other Payables Non Current,882000000.0,888000000.0,894000000.0,866000000.0,860000000.0
Non Current Deferred Liabilities,11990000000.0,11609000000.0,11424000000.0,10859000000.0,10773000000.0
Non Current Deferred Taxes Liabilities,11990000000.0,11609000000.0,11424000000.0,10859000000.0,10773000000.0
Long Term Debt And Capital Lease Obligation,79934000000.0,80733000000.0,77297000000.0,77480000000.0,77364000000.0
Long Term Capital Lease Obligation,1020000000.0,1033000000.0,957000000.0,956000000.0,925000000.0
Long Term Debt,78914000000.0,79700000000.0,76340000000.0,76524000000.0,76439000000.0
Long Term Provisions,9316000000.0,9350000000.0,9342000000.0,9511000000.0,9718000000.0
Current Liabilities,18408000000.0,16625000000.0,19357000000.0,17427000000.0,15482000000.0
Other Current Liabilities,3162000000.0,3177000000.0,3589000000.0,3466000000.0,3521000000.0
Current Debt And Capital Lease Obligation,8519000000.0,6748000000.0,7933000000.0,7544000000.0,6010000000.0
Current Debt,8519000000.0,6748000000.0,7933000000.0,7544000000.0,6010000000.0
Other Current Borrowings,,,,3597000000.0,2340000000.0
Current Notes Payable,,,,3947000000.0,3670000000.0
Current Provisions,636000000.0,643000000.0,650000000.0,639000000.0,636000000.0
Payables And Accrued Expenses,6091000000.0,6057000000.0,7185000000.0,5778000000.0,5315000000.0
Current Accrued Expenses,881000000.0,821000000.0,855000000.0,809000000.0,790000000.0
Interest Payable,881000000.0,821000000.0,855000000.0,809000000.0,790000000.0
Payables,5210000000.0,5236000000.0,6330000000.0,4969000000.0,4525000000.0
Total Tax Payable,837000000.0,794000000.0,851000000.0,1016000000.0,748000000.0
Accounts Payable,4373000000.0,4442000000.0,5479000000.0,3953000000.0,3777000000.0
Total Assets,189713000000.0,187476000000.0,186343000000.0,183566000000.0,181575000000.0
Total Non Current Assets,177565000000.0,174701000000.0,173393000000.0,171424000000.0,169018000000.0
Other Non Current Assets,3792000000.0,3502000000.0,3598000000.0,3813000000.0,3634000000.0
Investments And Advances,12441000000.0,11603000000.0,11787000000.0,11988000000.0,11427000000.0
Investmentin Financial Assets,12109000000.0,11246000000.0,11434000000.0,11511000000.0,10944000000.0
Available For Sale Securities,12109000000.0,11246000000.0,11434000000.0,11511000000.0,10944000000.0
Long Term Equity Investment,332000000.0,357000000.0,353000000.0,477000000.0,483000000.0
Goodwill And Other Intangible Assets,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0
Goodwill,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0
Net PPE,127857000000.0,126093000000.0,124451000000.0,122542000000.0,121208000000.0
Accumulated Depreciation,-59613000000.0,-58672000000.0,-57503000000.0,-58146000000.0,-57874000000.0
Gross PPE,187470000000.0,184765000000.0,181954000000.0,180688000000.0,179082000000.0
Construction In Progress,,,7850000000.0,,
Other Properties,187470000000.0,184765000000.0,20935000000.0,180688000000.0,179082000000.0
Current Assets,12148000000.0,12775000000.0,12950000000.0,12142000000.0,12557000000.0
Other Current Assets,3270000000.0,3318000000.0,3451000000.0,2747000000.0,3099000000.0
Assets Held For Sale Current,0.0,0.0,4000000.0,4000000.0,4000000.0
Inventory,4434000000.0,4418000000.0,4509000000.0,4338000000.0,4390000000.0
Other Inventories,293000000.0,305000000.0,321000000.0,299000000.0,290000000.0
Receivables,4100000000.0,4564000000.0,4672000000.0,4677000000.0,4674000000.0
Accounts Receivable,4100000000.0,4564000000.0,4672000000.0,4677000000.0,4674000000.0
Allowance For Doubtful Accounts Receivable,-199000000.0,-204000000.0,-209000000.0,-218000000.0,-207000000.0
Gross Accounts Receivable,4299000000.0,4768000000.0,4881000000.0,4895000000.0,4881000000.0
Cash Cash Equivalents And Short Term Investments,344000000.0,475000000.0,314000000.0,376000000.0,390000000.0
Cash And Cash Equivalents,344000000.0,475000000.0,314000000.0,376000000.0,390000000.0
Cash Financial,344000000.0,475000000.0,314000000.0,376000000.0,
