,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-55000000.0,495000000.0,1126000000.0,184000000.0,53000000.0,
Repurchase Of Capital Stock,-375000000.0,-1375000000.0,-383000000.0,-375000000.0,-375000000.0,
Issuance Of Capital Stock,,35000000.0,1000000.0,,,34000000.0
Capital Expenditure,-72000000.0,-54000000.0,-50000000.0,-50000000.0,-67000000.0,
Interest Paid Supplemental Data,,28000000.0,0.0,,,28000000.0
Income Tax Paid Supplemental Data,26000000.0,71000000.0,124000000.0,186000000.0,23000000.0,
End Cash Position,1518000000.0,2136000000.0,2776000000.0,2197000000.0,2400000000.0,
Beginning Cash Position,2136000000.0,2776000000.0,2197000000.0,2400000000.0,2900000000.0,
Effect Of Exchange Rate Changes,22000000.0,8000000.0,-31000000.0,11000000.0,-5000000.0,
Changes In Cash,-640000000.0,-648000000.0,610000000.0,-214000000.0,-495000000.0,
Financing Cash Flow,-568000000.0,-1411000000.0,-504000000.0,-402000000.0,-546000000.0,
Cash Flow From Continuing Financing Activities,-568000000.0,-1411000000.0,-504000000.0,-402000000.0,-546000000.0,
Net Other Financing Charges,-145000000.0,-23000000.0,-72000000.0,-18000000.0,-121000000.0,
Cash Dividends Paid,-48000000.0,-48000000.0,-50000000.0,-51000000.0,-50000000.0,
Common Stock Dividend Paid,-48000000.0,-48000000.0,,,-50000000.0,-51000000.0
Net Common Stock Issuance,-375000000.0,-1340000000.0,-382000000.0,-333000000.0,-375000000.0,
Common Stock Payments,-375000000.0,-1375000000.0,-383000000.0,-375000000.0,-375000000.0,
Common Stock Issuance,,35000000.0,1000000.0,,,34000000.0
Investing Cash Flow,-89000000.0,214000000.0,-62000000.0,-46000000.0,-69000000.0,
Cash Flow From Continuing Investing Activities,-89000000.0,214000000.0,-62000000.0,-46000000.0,-69000000.0,
Net Investment Purchase And Sale,0.0,268000000.0,-12000000.0,4000000.0,-2000000.0,
Sale Of Investment,42000000.0,329000000.0,127000000.0,111000000.0,128000000.0,
Purchase Of Investment,-42000000.0,-61000000.0,-139000000.0,-107000000.0,-130000000.0,
Net Business Purchase And Sale,-17000000.0,,,,0.0,
Purchase Of Business,-17000000.0,,,,0.0,
Capital Expenditure Reported,-72000000.0,-54000000.0,-50000000.0,-50000000.0,-67000000.0,
Operating Cash Flow,17000000.0,549000000.0,1176000000.0,234000000.0,120000000.0,
Cash Flow From Continuing Operating Activities,17000000.0,549000000.0,1176000000.0,234000000.0,120000000.0,
Change In Working Capital,-415000000.0,54000000.0,645000000.0,-356000000.0,-383000000.0,
Change In Other Working Capital,-407000000.0,-58000000.0,292000000.0,26000000.0,-415000000.0,
Change In Other Current Assets,-55000000.0,19000000.0,41000000.0,-78000000.0,58000000.0,
Change In Payables And Accrued Expense,-98000000.0,29000000.0,44000000.0,275000000.0,-158000000.0,
Change In Accrued Expense,,,,,-147000000.0,-83000000.0
Change In Payable,-98000000.0,29000000.0,44000000.0,275000000.0,-158000000.0,
Change In Account Payable,-98000000.0,29000000.0,44000000.0,275000000.0,-158000000.0,
Change In Receivables,145000000.0,64000000.0,268000000.0,-579000000.0,132000000.0,
Stock Based Compensation,152000000.0,162000000.0,163000000.0,174000000.0,143000000.0,
Depreciation Amortization Depletion,79000000.0,79000000.0,75000000.0,122000000.0,80000000.0,
Depreciation And Amortization,79000000.0,79000000.0,75000000.0,122000000.0,80000000.0,
Depreciation,79000000.0,79000000.0,,,80000000.0,149000000.0
Net Income From Continuing Operations,201000000.0,254000000.0,293000000.0,294000000.0,280000000.0,
