,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Ordinary Shares Number,138863000.0,142431000.0,141208000.0,140349000.0,141455000.0,
Share Issued,138863000.0,142431000.0,141208000.0,140349000.0,141455000.0,
Net Debt,2701400000.0,3072100000.0,2706000000.0,3033000000.0,3359800000.0,
Total Debt,3881700000.0,3885700000.0,3894700000.0,3911700000.0,3924100000.0,
Tangible Book Value,-4261800000.0,-4397900000.0,-3882600000.0,-4328500000.0,-4495300000.0,
Invested Capital,4192500000.0,3991200000.0,4487100000.0,4156800000.0,3961700000.0,
Working Capital,-1094000000.0,-1239200000.0,-746600000.0,-1230300000.0,-1410000000.0,
Net Tangible Assets,-4261800000.0,-4397900000.0,-3882600000.0,-4328500000.0,-4495300000.0,
Capital Lease Obligations,93600000.0,94200000.0,99700000.0,111600000.0,119400000.0,
Common Stock Equity,404400000.0,199700000.0,692100000.0,356700000.0,157000000.0,
Total Capitalization,4176800000.0,3975400000.0,4471200000.0,4140300000.0,3944700000.0,
Total Equity Gross Minority Interest,404400000.0,199700000.0,692100000.0,356700000.0,157000000.0,
Stockholders Equity,404400000.0,199700000.0,692100000.0,356700000.0,157000000.0,
Gains Losses Not Affecting Retained Earnings,35700000.0,102600000.0,132500000.0,90200000.0,135800000.0,
Other Equity Adjustments,35700000.0,102600000.0,132500000.0,90200000.0,135800000.0,
Retained Earnings,-2431200000.0,-2598000000.0,-2052300000.0,-2252600000.0,-2422800000.0,
Additional Paid In Capital,2799800000.0,2695000000.0,2611800000.0,2519000000.0,2443900000.0,
Capital Stock,100000.0,100000.0,100000.0,100000.0,100000.0,
Common Stock,100000.0,100000.0,100000.0,100000.0,100000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,7869500000.0,7639100000.0,7543300000.0,7640500000.0,7564900000.0,
Total Non Current Liabilities Net Minority Interest,4852100000.0,4846300000.0,4844900000.0,4856000000.0,4857700000.0,
Other Non Current Liabilities,57800000.0,56500000.0,85700000.0,84400000.0,89900000.0,
Non Current Deferred Liabilities,952400000.0,940600000.0,903400000.0,904500000.0,891800000.0,
Non Current Deferred Revenue,937800000.0,923000000.0,883200000.0,881300000.0,866100000.0,
Non Current Deferred Taxes Liabilities,14600000.0,17600000.0,20200000.0,23200000.0,25700000.0,
Long Term Debt And Capital Lease Obligation,3841900000.0,3849200000.0,3855800000.0,3867100000.0,3876000000.0,
Long Term Capital Lease Obligation,69500000.0,73500000.0,76700000.0,83500000.0,88300000.0,
Long Term Debt,3772400000.0,3775700000.0,3779100000.0,3783600000.0,3787700000.0,
Current Liabilities,3017400000.0,2792800000.0,2698400000.0,2784500000.0,2707200000.0,
Other Current Liabilities,261400000.0,84500000.0,79500000.0,142500000.0,92600000.0,
Current Deferred Liabilities,2399700000.0,2341600000.0,2222300000.0,2256100000.0,2230400000.0,
Current Deferred Revenue,2399700000.0,2341600000.0,2222300000.0,2256100000.0,2230400000.0,
Current Debt And Capital Lease Obligation,39800000.0,36500000.0,38900000.0,44600000.0,48100000.0,
Current Capital Lease Obligation,24100000.0,20700000.0,23000000.0,28100000.0,31100000.0,
Current Debt,15700000.0,15800000.0,15900000.0,16500000.0,17000000.0,
Other Current Borrowings,15700000.0,15800000.0,15900000.0,16500000.0,17000000.0,
Pensionand Other Post Retirement Benefit Plans Current,97700000.0,98100000.0,146000000.0,137500000.0,106800000.0,
Payables And Accrued Expenses,218800000.0,232100000.0,211700000.0,203800000.0,229300000.0,
Current Accrued Expenses,61100000.0,95100000.0,63200000.0,63000000.0,72300000.0,
Interest Payable,,13200000.0,12300000.0,13300000.0,13500000.0,14900000.0
Payables,157700000.0,137000000.0,148500000.0,140800000.0,157000000.0,
Total Tax Payable,75000000.0,74400000.0,66900000.0,67100000.0,62300000.0,
Accounts Payable,82700000.0,62600000.0,81600000.0,73700000.0,94700000.0,
Total Assets,8273900000.0,7838800000.0,8235400000.0,7997200000.0,7721900000.0,
Total Non Current Assets,6350500000.0,6285200000.0,6283600000.0,6443000000.0,6424700000.0,
Other Non Current Assets,92100000.0,95400000.0,96800000.0,100900000.0,96400000.0,
Non Current Prepaid Assets,239800000.0,236100000.0,224800000.0,225700000.0,220200000.0,
Non Current Deferred Assets,1155300000.0,1158100000.0,1181500000.0,1219000000.0,1234000000.0,
Non Current Deferred Taxes Assets,1155300000.0,1158100000.0,1181500000.0,1219000000.0,1234000000.0,
Goodwill And Other Intangible Assets,4666200000.0,4597600000.0,4574700000.0,4685200000.0,4652300000.0,
Other Intangible Assets,1022200000.0,1038300000.0,1055800000.0,1091200000.0,1107300000.0,
Goodwill,3644000000.0,3559300000.0,3518900000.0,3594000000.0,3545000000.0,
Net PPE,197100000.0,198000000.0,205800000.0,212200000.0,221800000.0,
Accumulated Depreciation,,,-536500000.0,,,
Gross PPE,197100000.0,198000000.0,742300000.0,212200000.0,221800000.0,
Leases,,,62000000.0,,,
Other Properties,197100000.0,198000000.0,64200000.0,212200000.0,221800000.0,
Machinery Furniture Equipment,,,497500000.0,,,
Buildings And Improvements,,,113800000.0,,,
Land And Improvements,,,4800000.0,,,
Properties,,,0.0,,,
Current Assets,1923400000.0,1553600000.0,1951800000.0,1554200000.0,1297200000.0,
Other Current Assets,24900000.0,16900000.0,19100000.0,36900000.0,39500000.0,
Hedging Assets Current,68200000.0,97900000.0,172700000.0,85800000.0,149400000.0,
Prepaid Assets,629800000.0,615500000.0,579900000.0,573700000.0,570500000.0,
Receivables,113800000.0,103900000.0,91100000.0,90700000.0,92900000.0,
Accounts Receivable,113800000.0,103900000.0,91100000.0,90700000.0,92900000.0,
Cash Cash Equivalents And Short Term Investments,1086700000.0,719400000.0,1089000000.0,767100000.0,444900000.0,
Other Short Term Investments,,,0.0,0.0,0.0,0.0
Cash And Cash Equivalents,1086700000.0,719400000.0,1089000000.0,767100000.0,444900000.0,
