,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,1328000000.0,3975000000.0,3886000000.0,2457000000.0,1622000000.0,
Repurchase Of Capital Stock,-153000000.0,-284000000.0,-112000000.0,-189000000.0,-151000000.0,
Repayment Of Debt,-1308000000.0,-1257000000.0,-124000000.0,-1267000000.0,-3118000000.0,
Issuance Of Debt,7000000.0,8378000000.0,0.0,0.0,219000000.0,
Issuance Of Capital Stock,185000000.0,216000000.0,,,125000000.0,260000000.0
Capital Expenditure,-373000000.0,-395000000.0,-444000000.0,-424000000.0,-444000000.0,
End Cash Position,12026000000.0,11161000000.0,14160000000.0,13214000000.0,14478000000.0,
Beginning Cash Position,11161000000.0,14160000000.0,13214000000.0,14478000000.0,14765000000.0,
Effect Of Exchange Rate Changes,320000000.0,167000000.0,-330000000.0,207000000.0,-77000000.0,
Changes In Cash,545000000.0,-3166000000.0,1276000000.0,-1471000000.0,-210000000.0,
Financing Cash Flow,-2854000000.0,5443000000.0,-1676000000.0,-2765000000.0,-4515000000.0,
Cash Flow From Continuing Financing Activities,-2854000000.0,5443000000.0,-1674000000.0,-2767000000.0,-4513000000.0,
Net Other Financing Charges,-22000000.0,-32000000.0,-660000000.0,610000000.0,-53000000.0,
Cash Dividends Paid,-1563000000.0,-1549000000.0,-1546000000.0,-1543000000.0,-1536000000.0,
Common Stock Dividend Paid,-1563000000.0,-1549000000.0,-1546000000.0,-1543000000.0,-1536000000.0,
Net Common Stock Issuance,32000000.0,-68000000.0,633000000.0,-574000000.0,-26000000.0,
Common Stock Payments,-153000000.0,-284000000.0,-112000000.0,-189000000.0,-151000000.0,
Common Stock Issuance,185000000.0,216000000.0,,,125000000.0,260000000.0
Net Issuance Payments Of Debt,-1301000000.0,7092000000.0,-103000000.0,-1258000000.0,-2900000000.0,
Net Short Term Debt Issuance,0.0,-29000000.0,21000000.0,9000000.0,-1000000.0,
Net Long Term Debt Issuance,-1301000000.0,7121000000.0,-124000000.0,-1267000000.0,-2899000000.0,
Long Term Debt Payments,-1308000000.0,-1257000000.0,-124000000.0,-1267000000.0,-3118000000.0,
Long Term Debt Issuance,7000000.0,8378000000.0,0.0,0.0,219000000.0,
Investing Cash Flow,1698000000.0,-12979000000.0,-1379000000.0,-1587000000.0,2239000000.0,
Cash Flow From Continuing Investing Activities,1698000000.0,-12979000000.0,-1379000000.0,-1587000000.0,2239000000.0,
Net Investment Purchase And Sale,2781000000.0,-5559000000.0,-408000000.0,869000000.0,2791000000.0,
Sale Of Investment,4035000000.0,927000000.0,853000000.0,1774000000.0,3453000000.0,
Purchase Of Investment,-1254000000.0,-6486000000.0,-1261000000.0,-905000000.0,-662000000.0,
Net Business Purchase And Sale,-747000000.0,-7099000000.0,-548000000.0,-2511000000.0,-153000000.0,
Sale Of Business,,,-7000000.0,2000000.0,0.0,703000000.0
Purchase Of Business,-747000000.0,-7099000000.0,-541000000.0,-2513000000.0,-153000000.0,
Net Intangibles Purchase And Sale,-163000000.0,-151000000.0,-141000000.0,-138000000.0,-224000000.0,
Purchase Of Intangibles,-163000000.0,-151000000.0,-141000000.0,-138000000.0,-224000000.0,
Net PPE Purchase And Sale,-173000000.0,-170000000.0,-282000000.0,193000000.0,-175000000.0,
Sale Of PPE,37000000.0,74000000.0,21000000.0,479000000.0,45000000.0,
Purchase Of PPE,-210000000.0,-244000000.0,-303000000.0,-286000000.0,-220000000.0,
Operating Cash Flow,1701000000.0,4370000000.0,4330000000.0,2881000000.0,2066000000.0,
Cash Flow From Continuing Operating Activities,1702000000.0,4370000000.0,4330000000.0,2882000000.0,2065000000.0,
Change In Working Capital,-2180000000.0,1759000000.0,1920000000.0,-759000000.0,-1213000000.0,
Stock Based Compensation,441000000.0,401000000.0,345000000.0,330000000.0,316000000.0,
Depreciation Amortization Depletion,1265000000.0,1177000000.0,1113000000.0,1268000000.0,1155000000.0,
Depreciation And Amortization,1265000000.0,1177000000.0,1113000000.0,1268000000.0,1155000000.0,
Amortization Cash Flow,687000000.0,641000000.0,589000000.0,705000000.0,607000000.0,
Amortization Of Intangibles,687000000.0,641000000.0,589000000.0,705000000.0,607000000.0,
Depreciation,578000000.0,536000000.0,524000000.0,563000000.0,548000000.0,
Operating Gains Losses,-18000000.0,-22000000.0,368000000.0,2373000000.0,-27000000.0,
Pension And Employee Benefit Expense,,,388000000.0,,,
Gain Loss On Sale Of Business,-18000000.0,-22000000.0,-20000000.0,-352000000.0,-27000000.0,
Net Income From Continuing Operations,2194000000.0,1055000000.0,2914000000.0,-330000000.0,1834000000.0,
