,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,533000000.0,249000000.0,661000000.0,190000000.0,350000000.0,
Repurchase Of Capital Stock,-64000000.0,-63000000.0,-121000000.0,-23000000.0,0.0,
Repayment Of Debt,-25000000.0,-750000000.0,,,0.0,0.0
Issuance Of Debt,-122000000.0,868000000.0,-108000000.0,217000000.0,-110000000.0,
Issuance Of Capital Stock,,,0.0,0.0,,
Capital Expenditure,-88000000.0,-179000000.0,-132000000.0,-59000000.0,-90000000.0,
End Cash Position,1070000000.0,1057000000.0,1070000000.0,1057000000.0,1014000000.0,
Beginning Cash Position,1057000000.0,1070000000.0,1057000000.0,1014000000.0,1155000000.0,
Effect Of Exchange Rate Changes,30000000.0,36000000.0,-61000000.0,12000000.0,-6000000.0,
Changes In Cash,-17000000.0,-49000000.0,74000000.0,31000000.0,-135000000.0,
Financing Cash Flow,-548000000.0,-310000000.0,-587000000.0,-162000000.0,-490000000.0,
Cash Flow From Continuing Financing Activities,-548000000.0,-310000000.0,-587000000.0,-162000000.0,-490000000.0,
Net Other Financing Charges,56000000.0,27000000.0,35000000.0,37000000.0,3000000.0,
Cash Dividends Paid,-393000000.0,-392000000.0,-393000000.0,-393000000.0,-383000000.0,
Common Stock Dividend Paid,-393000000.0,-392000000.0,-393000000.0,-393000000.0,-383000000.0,
Net Common Stock Issuance,-64000000.0,-63000000.0,-121000000.0,-23000000.0,0.0,
Common Stock Payments,-64000000.0,-63000000.0,-121000000.0,-23000000.0,0.0,
Common Stock Issuance,,,0.0,0.0,,
Net Issuance Payments Of Debt,-147000000.0,118000000.0,-108000000.0,217000000.0,-110000000.0,
Net Short Term Debt Issuance,-893000000.0,868000000.0,-108000000.0,217000000.0,-110000000.0,
Short Term Debt Issuance,,868000000.0,-108000000.0,217000000.0,-110000000.0,160000000.0
Net Long Term Debt Issuance,746000000.0,-750000000.0,0.0,0.0,0.0,
Long Term Debt Payments,0.0,-750000000.0,,,0.0,0.0
Long Term Debt Issuance,,,0.0,0.0,8000000.0,0.0
Investing Cash Flow,-90000000.0,-167000000.0,-132000000.0,-56000000.0,-85000000.0,
Cash Flow From Continuing Investing Activities,-90000000.0,-167000000.0,-132000000.0,-56000000.0,-85000000.0,
Net Other Investing Changes,-2000000.0,12000000.0,0.0,3000000.0,5000000.0,
Net PPE Purchase And Sale,-88000000.0,-179000000.0,-132000000.0,-59000000.0,-90000000.0,
Purchase Of PPE,-88000000.0,-179000000.0,-132000000.0,-59000000.0,-90000000.0,
Operating Cash Flow,621000000.0,428000000.0,793000000.0,249000000.0,440000000.0,
Cash Flow From Continuing Operating Activities,621000000.0,428000000.0,793000000.0,249000000.0,440000000.0,
Change In Working Capital,19000000.0,-77000000.0,262000000.0,-351000000.0,-143000000.0,
Change In Other Working Capital,-7000000.0,3000000.0,22000000.0,-2000000.0,2000000.0,
Change In Other Current Liabilities,-56000000.0,-22000000.0,25000000.0,-12000000.0,-13000000.0,
Change In Other Current Assets,53000000.0,59000000.0,-46000000.0,-6000000.0,90000000.0,
Change In Payables And Accrued Expense,32000000.0,48000000.0,-33000000.0,-283000000.0,-127000000.0,
Change In Payable,32000000.0,48000000.0,-33000000.0,-283000000.0,-127000000.0,
Change In Account Payable,123000000.0,-14000000.0,37000000.0,-336000000.0,-56000000.0,
Change In Tax Payable,-91000000.0,62000000.0,-70000000.0,53000000.0,-71000000.0,
Change In Income Tax Payable,-91000000.0,62000000.0,-70000000.0,53000000.0,-71000000.0,
Change In Inventory,-51000000.0,-66000000.0,169000000.0,62000000.0,14000000.0,
Change In Receivables,48000000.0,-99000000.0,125000000.0,-110000000.0,-109000000.0,
Changes In Account Receivables,48000000.0,-99000000.0,125000000.0,-110000000.0,-109000000.0,
Other Non Cash Items,17000000.0,16000000.0,2000000.0,48000000.0,14000000.0,
Stock Based Compensation,37000000.0,44000000.0,54000000.0,58000000.0,61000000.0,
Asset Impairment Charge,0.0,0.0,0.0,0.0,510000000.0,
Deferred Tax,-14000000.0,-13000000.0,-40000000.0,-40000000.0,-201000000.0,
Deferred Income Tax,-14000000.0,-13000000.0,-40000000.0,-40000000.0,-201000000.0,
Depreciation Amortization Depletion,142000000.0,136000000.0,150000000.0,182000000.0,141000000.0,
Depreciation And Amortization,142000000.0,136000000.0,150000000.0,182000000.0,141000000.0,
Operating Gains Losses,,,,,0.0,31000000.0
Gain Loss On Investment Securities,,,,,,31000000.0
Net Income From Continuing Operations,420000000.0,322000000.0,293000000.0,383000000.0,58000000.0,
