,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,954000000.0,891000000.0,1559000000.0,1665000000.0,796000000.0
Repurchase Of Capital Stock,-1111000000.0,-1111000000.0,-1334000000.0,-667000000.0,-1440000000.0
Repayment Of Debt,-633000000.0,-1012000000.0,-332000000.0,-16000000.0,-347000000.0
Issuance Of Debt,719000000.0,2340000000.0,8000000.0,8000000.0,2372000000.0
Issuance Of Capital Stock,4000000.0,11000000.0,3000000.0,7000000.0,5000000.0
Capital Expenditure,-1257000000.0,-1270000000.0,-1250000000.0,-1066000000.0,-1133000000.0
End Cash Position,4786000000.0,5294000000.0,4850000000.0,5187000000.0,4626000000.0
Beginning Cash Position,5294000000.0,4850000000.0,5187000000.0,4626000000.0,4848000000.0
Effect Of Exchange Rate Changes,104000000.0,40000000.0,-160000000.0,60000000.0,-73000000.0
Changes In Cash,-612000000.0,404000000.0,-177000000.0,501000000.0,-149000000.0
Financing Cash Flow,-1366000000.0,-388000000.0,-1610000000.0,-1273000000.0,-808000000.0
Cash Flow From Continuing Financing Activities,-1366000000.0,-388000000.0,-1610000000.0,-1273000000.0,-808000000.0
Net Other Financing Charges,99000000.0,-73000000.0,-159000000.0,-44000000.0,-28000000.0
Cash Dividends Paid,-704000000.0,-708000000.0,-659000000.0,-662000000.0,-665000000.0
Common Stock Dividend Paid,-704000000.0,-708000000.0,-659000000.0,-662000000.0,-665000000.0
Net Common Stock Issuance,-1107000000.0,-1100000000.0,-1331000000.0,-660000000.0,-1435000000.0
Common Stock Payments,-1111000000.0,-1111000000.0,-1334000000.0,-667000000.0,-1440000000.0
Common Stock Issuance,4000000.0,11000000.0,3000000.0,7000000.0,5000000.0
Net Issuance Payments Of Debt,346000000.0,1493000000.0,539000000.0,93000000.0,1320000000.0
Net Short Term Debt Issuance,260000000.0,165000000.0,863000000.0,101000000.0,-705000000.0
Net Long Term Debt Issuance,86000000.0,1328000000.0,-324000000.0,-8000000.0,2025000000.0
Long Term Debt Payments,-633000000.0,-1012000000.0,-332000000.0,-16000000.0,-347000000.0
Long Term Debt Issuance,719000000.0,2340000000.0,8000000.0,8000000.0,2372000000.0
Investing Cash Flow,-1457000000.0,-1369000000.0,-1376000000.0,-957000000.0,-1270000000.0
Cash Flow From Continuing Investing Activities,-1457000000.0,-1369000000.0,-1376000000.0,-957000000.0,-1270000000.0
Net Business Purchase And Sale,-147000000.0,-99000000.0,-126000000.0,109000000.0,-137000000.0
Sale Of Business,11000000.0,13000000.0,16000000.0,132000000.0,15000000.0
Purchase Of Business,-158000000.0,-112000000.0,-142000000.0,-23000000.0,-152000000.0
Capital Expenditure Reported,-1257000000.0,-1270000000.0,-1250000000.0,-1066000000.0,-1133000000.0
Operating Cash Flow,2211000000.0,2161000000.0,2809000000.0,2731000000.0,1929000000.0
Cash Flow From Continuing Operating Activities,2211000000.0,2161000000.0,2809000000.0,2731000000.0,1929000000.0
Change In Working Capital,-427000000.0,-520000000.0,71000000.0,173000000.0,-492000000.0
Change In Other Working Capital,94000000.0,-116000000.0,-99000000.0,-121000000.0,-95000000.0
Change In Payables And Accrued Expense,-290000000.0,-209000000.0,101000000.0,15000000.0,-328000000.0
Change In Prepaid Assets,-107000000.0,26000000.0,7000000.0,0.0,-12000000.0
Change In Inventory,-45000000.0,9000000.0,24000000.0,55000000.0,4000000.0
Change In Receivables,-79000000.0,-230000000.0,38000000.0,224000000.0,-61000000.0
Changes In Account Receivables,-79000000.0,-230000000.0,38000000.0,224000000.0,-61000000.0
Other Non Cash Items,-60000000.0,13000000.0,-278000000.0,130000000.0,-53000000.0
Stock Based Compensation,46000000.0,42000000.0,40000000.0,42000000.0,40000000.0
Deferred Tax,-22000000.0,9000000.0,166000000.0,-124000000.0,-149000000.0
Deferred Income Tax,-22000000.0,9000000.0,166000000.0,-124000000.0,-149000000.0
Depreciation Amortization Depletion,942000000.0,910000000.0,913000000.0,960000000.0,958000000.0
Depreciation And Amortization,942000000.0,910000000.0,913000000.0,960000000.0,958000000.0
Net Income From Continuing Operations,1732000000.0,1707000000.0,1897000000.0,1550000000.0,1625000000.0
