,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,257700000.0,191700000.0,253400000.0,22800000.0,304200000.0,
Repurchase Of Capital Stock,0.0,0.0,-6500000.0,-17300000.0,-72700000.0,
Repayment Of Debt,-174500000.0,-4555100000.0,-5879200000.0,-2533500000.0,-4637900000.0,
Issuance Of Debt,0.0,3438400000.0,6205100000.0,2780800000.0,4823400000.0,
Issuance Of Capital Stock,12400000.0,1469500000.0,11800000.0,20500000.0,13100000.0,
Capital Expenditure,-17900000.0,-14200000.0,-18100000.0,-20800000.0,-72900000.0,
End Cash Position,566500000.0,771700000.0,586000000.0,286100000.0,315100000.0,
Beginning Cash Position,771700000.0,586000000.0,286100000.0,315100000.0,319700000.0,
Changes In Cash,-205200000.0,185700000.0,299900000.0,-29000000.0,-4600000.0,
Financing Cash Flow,-443900000.0,35800000.0,70500000.0,-8400000.0,-256200000.0,
Cash Flow From Continuing Financing Activities,-443900000.0,35800000.0,70500000.0,-8400000.0,-256200000.0,
Net Other Financing Charges,-11200000.0,-17100000.0,-16100000.0,-15200000.0,-34500000.0,
Proceeds From Stock Option Exercised,0.0,-55100000.0,0.0,0.0,-105000000.0,
Cash Dividends Paid,-270600000.0,-244800000.0,-244600000.0,-243700000.0,-242600000.0,
Preferred Stock Dividend Paid,-25100000.0,,,,0.0,
Common Stock Dividend Paid,-245500000.0,,,,-242600000.0,
Net Common Stock Issuance,12400000.0,20000000.0,5300000.0,3200000.0,-59600000.0,
Common Stock Payments,0.0,0.0,-6500000.0,-17300000.0,-72700000.0,
Common Stock Issuance,12400000.0,20000000.0,11800000.0,20500000.0,13100000.0,
Net Issuance Payments Of Debt,-174500000.0,-1116700000.0,325900000.0,247300000.0,185500000.0,
Net Short Term Debt Issuance,-174100000.0,-1112600000.0,-813800000.0,,-1064100000.0,
Short Term Debt Payments,-174100000.0,-4483000000.0,-11380900000.0,,-4637500000.0,
Short Term Debt Issuance,0.0,3370400000.0,10567100000.0,,3573400000.0,
Net Long Term Debt Issuance,-400000.0,-4100000.0,389700000.0,-816800000.0,1249600000.0,
Long Term Debt Payments,-400000.0,-72100000.0,4751700000.0,-7171000000.0,-400000.0,
Long Term Debt Issuance,0.0,68000000.0,-4362000000.0,6354200000.0,1250000000.0,
Investing Cash Flow,-36900000.0,-56000000.0,-42100000.0,-64200000.0,-125500000.0,
Cash Flow From Continuing Investing Activities,-36900000.0,-56000000.0,-42100000.0,-64200000.0,-125500000.0,
Net Other Investing Changes,-19000000.0,-41800000.0,-24000000.0,-43400000.0,-52600000.0,
Capital Expenditure Reported,-17900000.0,-14200000.0,-18100000.0,-20800000.0,-72900000.0,
Operating Cash Flow,275600000.0,205900000.0,271500000.0,43600000.0,377100000.0,
Cash Flow From Continuing Operating Activities,275600000.0,205900000.0,271500000.0,43600000.0,377100000.0,
Change In Working Capital,68800000.0,151500000.0,160600000.0,-235000000.0,23000000.0,
Change In Other Working Capital,-3400000.0,34600000.0,-22700000.0,-29300000.0,-20700000.0,
Change In Payables And Accrued Expense,23000000.0,-117300000.0,13000000.0,-229700000.0,-13400000.0,
Change In Payable,23000000.0,-117300000.0,13000000.0,-229700000.0,-13400000.0,
Change In Account Payable,27600000.0,-109000000.0,-54300000.0,-141100000.0,-41200000.0,
Change In Tax Payable,-4600000.0,-8300000.0,67300000.0,-88600000.0,27800000.0,
Change In Income Tax Payable,-4600000.0,-8300000.0,67300000.0,-88600000.0,27800000.0,
Change In Inventory,125000000.0,66700000.0,-16800000.0,-27500000.0,9200000.0,
Change In Receivables,-75800000.0,167500000.0,187100000.0,51500000.0,47900000.0,
Changes In Account Receivables,-75800000.0,167500000.0,187100000.0,51500000.0,47900000.0,
Other Non Cash Items,2200000.0,-2600000.0,4100000.0,7900000.0,200000.0,
Stock Based Compensation,52900000.0,40700000.0,49400000.0,46300000.0,44000000.0,
Asset Impairment Charge,2200000.0,0.0,0.0,0.0,0.0,
Deferred Tax,-3000000.0,-17500000.0,-76100000.0,-41600000.0,-8100000.0,
Deferred Income Tax,-3000000.0,-17500000.0,-76100000.0,-41600000.0,-8100000.0,
Depreciation Amortization Depletion,171100000.0,187000000.0,186800000.0,187600000.0,188700000.0,
Depreciation And Amortization,171100000.0,187000000.0,186800000.0,187600000.0,188700000.0,
Amortization Cash Flow,131600000.0,,,146400000.0,145700000.0,
Amortization Of Intangibles,131600000.0,,,146400000.0,145700000.0,
Depreciation,39500000.0,,,41200000.0,43000000.0,
Operating Gains Losses,,1400000.0,,,,0.0
Net Income From Continuing Operations,-18600000.0,-154600000.0,-53600000.0,78400000.0,129300000.0,
