,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,258000000.0,-236000000.0,692000000.0,774000000.0,1730000000.0
Repurchase Of Capital Stock,-419000000.0,-247000000.0,-647000000.0,-800000000.0,-840000000.0
Repayment Of Debt,-1088000000.0,-1287000000.0,-712000000.0,-408000000.0,-7000000.0
Issuance Of Debt,3499000000.0,0.0,1135000000.0,1518000000.0,-196000000.0
Issuance Of Capital Stock,2000000.0,23000000.0,4000000.0,18000000.0,14000000.0
Capital Expenditure,-587000000.0,-423000000.0,-506000000.0,-358000000.0,-367000000.0
End Cash Position,1144000000.0,1489000000.0,1738000000.0,1637000000.0,2444000000.0
Beginning Cash Position,1489000000.0,1738000000.0,1637000000.0,2444000000.0,1570000000.0
Effect Of Exchange Rate Changes,18000000.0,22000000.0,-28000000.0,33000000.0,-7000000.0
Changes In Cash,-363000000.0,-271000000.0,129000000.0,-840000000.0,881000000.0
Financing Cash Flow,1526000000.0,-2049000000.0,-724000000.0,-192000000.0,-1543000000.0
Cash Flow From Continuing Financing Activities,1526000000.0,-2049000000.0,-724000000.0,-192000000.0,-1543000000.0
Net Other Financing Charges,19000000.0,-69000000.0,-32000000.0,-43000000.0,-29000000.0
Cash Dividends Paid,-487000000.0,-469000000.0,-472000000.0,-477000000.0,-485000000.0
Common Stock Dividend Paid,-487000000.0,-469000000.0,-472000000.0,-477000000.0,-485000000.0
Net Common Stock Issuance,-417000000.0,-224000000.0,-643000000.0,-782000000.0,-826000000.0
Common Stock Payments,-419000000.0,-247000000.0,-647000000.0,-800000000.0,-840000000.0
Common Stock Issuance,2000000.0,23000000.0,4000000.0,18000000.0,14000000.0
Net Issuance Payments Of Debt,2411000000.0,-1287000000.0,423000000.0,1110000000.0,-203000000.0
Net Long Term Debt Issuance,2411000000.0,-1287000000.0,423000000.0,1110000000.0,-203000000.0
Long Term Debt Payments,-1088000000.0,-1287000000.0,-712000000.0,-408000000.0,-7000000.0
Long Term Debt Issuance,3499000000.0,0.0,1135000000.0,1518000000.0,-196000000.0
Investing Cash Flow,-2734000000.0,1591000000.0,-345000000.0,-1780000000.0,327000000.0
Cash Flow From Continuing Investing Activities,-2734000000.0,1591000000.0,-345000000.0,-1780000000.0,327000000.0
Net Other Investing Changes,55000000.0,1989000000.0,200000000.0,-910000000.0,668000000.0
Net Business Purchase And Sale,-2202000000.0,25000000.0,-39000000.0,-512000000.0,26000000.0
Sale Of Business,18000000.0,25000000.0,19000000.0,55000000.0,26000000.0
Purchase Of Business,,,-58000000.0,-567000000.0,
Capital Expenditure Reported,-587000000.0,-423000000.0,-506000000.0,-358000000.0,-367000000.0
Operating Cash Flow,845000000.0,187000000.0,1198000000.0,1132000000.0,2097000000.0
Cash Flow From Continuing Operating Activities,845000000.0,187000000.0,1198000000.0,1132000000.0,2097000000.0
Change In Working Capital,-1075000000.0,-72000000.0,297000000.0,-381000000.0,916000000.0
Change In Payables And Accrued Expense,1234000000.0,495000000.0,-1040000000.0,-1176000000.0,173000000.0
Change In Payable,1234000000.0,495000000.0,-1040000000.0,-1176000000.0,173000000.0
Change In Account Payable,691000000.0,384000000.0,-593000000.0,-1456000000.0,-120000000.0
Change In Tax Payable,543000000.0,111000000.0,-447000000.0,280000000.0,293000000.0
Change In Income Tax Payable,543000000.0,111000000.0,-447000000.0,280000000.0,293000000.0
Change In Prepaid Assets,-172000000.0,-254000000.0,102000000.0,-131000000.0,252000000.0
Change In Inventory,-393000000.0,-1214000000.0,2023000000.0,499000000.0,-245000000.0
Change In Receivables,-1744000000.0,901000000.0,-788000000.0,427000000.0,736000000.0
Other Non Cash Items,68000000.0,6000000.0,160000000.0,625000000.0,-7000000.0
Unrealized Gain Loss On Investment Securities,4000000.0,10000000.0,-2000000.0,1000000.0,7000000.0
Asset Impairment Charge,4000000.0,26000000.0,37000000.0,29000000.0,225000000.0
Deferred Tax,-48000000.0,-133000000.0,-164000000.0,113000000.0,-145000000.0
Deferred Income Tax,-48000000.0,-133000000.0,-164000000.0,113000000.0,-145000000.0
Depreciation Amortization Depletion,816000000.0,791000000.0,819000000.0,543000000.0,497000000.0
Depreciation And Amortization,816000000.0,791000000.0,819000000.0,543000000.0,497000000.0
Operating Gains Losses,168000000.0,-967000000.0,26000000.0,-167000000.0,-416000000.0
Earnings Losses From Equity Investments,75000000.0,120000000.0,108000000.0,-160000000.0,-179000000.0
Net Income From Continuing Operations,908000000.0,526000000.0,25000000.0,369000000.0,1020000000.0
