,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,702000000.0,566000000.0,524400000.0,563600000.0,697000000.0
Repurchase Of Capital Stock,1000000.0,-74000000.0,-157500000.0,-149500000.0,-164000000.0
Repayment Of Debt,-9012000000.0,-12018000000.0,-8273900000.0,-5561100000.0,-4833000000.0
Issuance Of Debt,8650000000.0,12558000000.0,8404100000.0,5131900000.0,4936000000.0
Capital Expenditure,-407000000.0,-459000000.0,-497600000.0,-439400000.0,-403000000.0
End Cash Position,263000000.0,224000000.0,203000000.0,206000000.0,592000000.0
Beginning Cash Position,224000000.0,203000000.0,206000000.0,592000000.0,158000000.0
Effect Of Exchange Rate Changes,1000000.0,0.0,-3100000.0,100000.0,2000000.0
Changes In Cash,38000000.0,21000000.0,-400000.0,-385600000.0,432000000.0
Financing Cash Flow,-544000000.0,284000000.0,-209900000.0,-753100000.0,-234000000.0
Cash Flow From Continuing Financing Activities,-544000000.0,284000000.0,-209900000.0,-753100000.0,-234000000.0
Net Other Financing Charges,-2000000.0,-1000000.0,-400000.0,-6600000.0,-4000000.0
Cash Dividends Paid,-181000000.0,-181000000.0,-182200000.0,-167800000.0,-169000000.0
Common Stock Dividend Paid,-181000000.0,-181000000.0,-182200000.0,-167800000.0,-169000000.0
Net Common Stock Issuance,1000000.0,-74000000.0,-157500000.0,-149500000.0,-164000000.0
Common Stock Payments,1000000.0,-74000000.0,-157500000.0,-149500000.0,-164000000.0
Net Issuance Payments Of Debt,-362000000.0,540000000.0,130200000.0,-429200000.0,103000000.0
Net Long Term Debt Issuance,-362000000.0,540000000.0,130200000.0,-429200000.0,103000000.0
Long Term Debt Payments,-9012000000.0,-12018000000.0,-8273900000.0,-5561100000.0,-4833000000.0
Long Term Debt Issuance,8650000000.0,12558000000.0,8404100000.0,5131900000.0,4936000000.0
Investing Cash Flow,-527000000.0,-1288000000.0,-812500000.0,-635500000.0,-434000000.0
Cash Flow From Continuing Investing Activities,-527000000.0,-1288000000.0,-812500000.0,-635500000.0,-434000000.0
Net Other Investing Changes,0.0,-1000000.0,-200000.0,-800000.0,-300000.0
Net Business Purchase And Sale,-125000000.0,-831000000.0,-353100000.0,-198900000.0,-33000000.0
Sale Of Business,4000000.0,3000000.0,-500000.0,500000.0,2000000.0
Purchase Of Business,-129000000.0,-834000000.0,-352600000.0,-199400000.0,-35000000.0
Net PPE Purchase And Sale,-402000000.0,-456000000.0,-459200000.0,-435800000.0,-400000000.0
Sale Of PPE,5000000.0,3000000.0,38400000.0,3600000.0,3000000.0
Purchase Of PPE,-407000000.0,-459000000.0,-497600000.0,-439400000.0,-403000000.0
Operating Cash Flow,1109000000.0,1025000000.0,1022000000.0,1003000000.0,1100000000.0
Cash Flow From Continuing Operating Activities,1109000000.0,1025000000.0,1022000000.0,1003000000.0,1100000000.0
Change In Working Capital,59000000.0,36000000.0,-96200000.0,-102800000.0,85000000.0
Change In Other Current Liabilities,132000000.0,6000000.0,-7900000.0,68900000.0,115000000.0
Change In Payables And Accrued Expense,29000000.0,-42000000.0,-700000.0,-45300000.0,20000000.0
Change In Payable,29000000.0,-42000000.0,-700000.0,-45300000.0,20000000.0
Change In Account Payable,29000000.0,-42000000.0,-700000.0,-45300000.0,20000000.0
Change In Prepaid Assets,-69000000.0,90000000.0,-111500000.0,-95500000.0,18000000.0
Change In Receivables,-33000000.0,-18000000.0,23900000.0,-30900000.0,-68000000.0
Changes In Account Receivables,-33000000.0,-18000000.0,23900000.0,-30900000.0,-68000000.0
Other Non Cash Items,-7000000.0,-1000000.0,-12600000.0,-22400000.0,6000000.0
Stock Based Compensation,10000000.0,13000000.0,11000000.0,9000000.0,11000000.0
Provisionand Write Offof Assets,8000000.0,10000000.0,7100000.0,-100000.0,13000000.0
Deferred Tax,-9000000.0,1000000.0,16800000.0,22200000.0,1000000.0
Deferred Income Tax,-9000000.0,1000000.0,16800000.0,22200000.0,1000000.0
Depreciation Amortization Depletion,492000000.0,462000000.0,469700000.0,449300000.0,439000000.0
Depreciation And Amortization,492000000.0,462000000.0,469700000.0,449300000.0,439000000.0
Depreciation,492000000.0,462000000.0,469700000.0,449300000.0,439000000.0
Operating Gains Losses,6000000.0,9000000.0,113700000.0,82300000.0,33000000.0
Earnings Losses From Equity Investments,2000000.0,12000000.0,139000000.0,74000000.0,33000000.0
Net Income From Continuing Operations,550000000.0,495000000.0,512500000.0,565500000.0,512000000.0
