,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,23900000.0,461500000.0,-264600000.0,-67300000.0,343500000.0,
Repurchase Of Capital Stock,0.0,-1300000.0,0.0,0.0,-1200000.0,
Repayment Of Debt,-549700000.0,-17900000.0,-1300500000.0,-52100000.0,-28500000.0,
Issuance Of Debt,,,1788500000.0,598200000.0,2074200000.0,0.0
Issuance Of Capital Stock,281700000.0,117100000.0,112400000.0,12800000.0,19000000.0,
Capital Expenditure,-829400000.0,-701100000.0,-846400000.0,-796300000.0,-693900000.0,
Interest Paid Supplemental Data,296800000.0,132400000.0,252600000.0,155400000.0,219100000.0,
End Cash Position,69200000.0,143400000.0,42200000.0,361000000.0,302900000.0,
Beginning Cash Position,143400000.0,42200000.0,361000000.0,302900000.0,116100000.0,
Changes In Cash,-74200000.0,101200000.0,-318800000.0,58100000.0,186800000.0,
Financing Cash Flow,-56500000.0,40400000.0,848700000.0,131500000.0,-36000000.0,
Cash Flow From Continuing Financing Activities,-56500000.0,40400000.0,848700000.0,131500000.0,-36000000.0,
Net Other Financing Charges,-14400000.0,-4600000.0,-19000000.0,-7700000.0,-23600000.0,
Proceeds From Stock Option Exercised,3500000.0,21200000.0,10300000.0,8700000.0,1000000.0,
Cash Dividends Paid,-285100000.0,-283600000.0,-265000000.0,-264000000.0,-263700000.0,
Common Stock Dividend Paid,-285100000.0,-283600000.0,-265000000.0,-264000000.0,-263700000.0,
Net Common Stock Issuance,281700000.0,115800000.0,112400000.0,12800000.0,17800000.0,
Common Stock Payments,0.0,-1300000.0,0.0,0.0,-1200000.0,
Common Stock Issuance,281700000.0,117100000.0,112400000.0,12800000.0,19000000.0,
Net Issuance Payments Of Debt,-42200000.0,191600000.0,1010000000.0,381700000.0,232500000.0,
Net Short Term Debt Issuance,-517500000.0,209500000.0,522000000.0,-164400000.0,-1813200000.0,
Net Long Term Debt Issuance,475300000.0,-17900000.0,488000000.0,546100000.0,2045700000.0,
Long Term Debt Payments,-549700000.0,-17900000.0,-1300500000.0,-52100000.0,-28500000.0,
Long Term Debt Issuance,,,1788500000.0,598200000.0,2074200000.0,0.0
Investing Cash Flow,-871000000.0,-1101800000.0,-1749300000.0,-802400000.0,-814600000.0,
Cash Flow From Continuing Investing Activities,-871000000.0,-1101800000.0,-1749300000.0,-802400000.0,-814600000.0,
Net Other Investing Changes,3900000.0,30800000.0,7700000.0,8800000.0,-4300000.0,
Net Investment Purchase And Sale,0.0,16900000.0,,0.0,0.0,14800000.0
Sale Of Investment,0.0,16900000.0,,0.0,0.0,14800000.0
Net Business Purchase And Sale,-45500000.0,-448400000.0,-895800000.0,-14900000.0,-116400000.0,
Purchase Of Business,-45500000.0,-448400000.0,-895800000.0,-14900000.0,-116400000.0,
Capital Expenditure Reported,-829400000.0,-701100000.0,-846400000.0,-796300000.0,-693900000.0,
Operating Cash Flow,853300000.0,1162600000.0,581800000.0,729000000.0,1037400000.0,
Cash Flow From Continuing Operating Activities,853300000.0,1162600000.0,581800000.0,729000000.0,1037400000.0,
Change In Working Capital,62900000.0,32200000.0,-305000000.0,43400000.0,314700000.0,
Change In Other Working Capital,,,36600000.0,300000.0,30200000.0,17200000.0
Change In Other Current Liabilities,-119000000.0,74200000.0,86800000.0,35300000.0,-32300000.0,
Change In Other Current Assets,52400000.0,13000000.0,-157200000.0,32300000.0,12600000.0,
Change In Payables And Accrued Expense,23300000.0,-195400000.0,251400000.0,-61400000.0,139500000.0,
Change In Payable,23300000.0,-195400000.0,251400000.0,-61400000.0,139500000.0,
Change In Account Payable,23300000.0,-195400000.0,251400000.0,-61400000.0,139500000.0,
Change In Inventory,-127000000.0,237200000.0,-23300000.0,-94100000.0,-87200000.0,
Change In Receivables,233200000.0,-96800000.0,-499300000.0,83600000.0,282100000.0,
Changes In Account Receivables,316700000.0,-180300000.0,,35600000.0,315500000.0,-61300000.0
Other Non Cash Items,19700000.0,-12800000.0,-55700000.0,69400000.0,49400000.0,
Deferred Tax,164400000.0,55600000.0,160700000.0,46800000.0,137200000.0,
Deferred Income Tax,164400000.0,55600000.0,160700000.0,46800000.0,137200000.0,
Depreciation Amortization Depletion,368900000.0,359900000.0,344000000.0,340500000.0,336600000.0,
Depreciation And Amortization,368900000.0,359900000.0,344000000.0,340500000.0,336600000.0,
Operating Gains Losses,-5600000.0,2200000.0,-27400000.0,-9700000.0,-10500000.0,
Earnings Losses From Equity Investments,-5600000.0,2200000.0,-28100000.0,-9700000.0,-10500000.0,
Net Income From Continuing Operations,243000000.0,725500000.0,453100000.0,238600000.0,210000000.0,
