,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,514000000.0,306000000.0,342000000.0,408000000.0,121000000.0,
Repayment Of Debt,-49000000.0,-1805000000.0,-100000000.0,-500000000.0,-2113000000.0,
Issuance Of Debt,0.0,846000000.0,0.0,0.0,1500000000.0,
Capital Expenditure,-667000000.0,-790000000.0,-694000000.0,-931000000.0,-756000000.0,
Interest Paid Supplemental Data,37000000.0,118000000.0,66000000.0,128000000.0,74000000.0,
Income Tax Paid Supplemental Data,246000000.0,296000000.0,221000000.0,310000000.0,200000000.0,
End Cash Position,107000000.0,67000000.0,625000000.0,64000000.0,160000000.0,
Beginning Cash Position,67000000.0,625000000.0,64000000.0,160000000.0,102000000.0,
Changes In Cash,40000000.0,-558000000.0,561000000.0,-96000000.0,58000000.0,
Financing Cash Flow,-1046000000.0,-868000000.0,-558000000.0,-580000000.0,-755000000.0,
Cash Flow From Continuing Financing Activities,-1046000000.0,-868000000.0,-558000000.0,-580000000.0,-755000000.0,
Net Other Financing Charges,-91000000.0,-151000000.0,-35000000.0,-113000000.0,-72000000.0,
Cash Dividends Paid,-90000000.0,-91000000.0,-93000000.0,-92000000.0,-92000000.0,
Common Stock Dividend Paid,-90000000.0,-91000000.0,-93000000.0,-92000000.0,-92000000.0,
Net Common Stock Issuance,-50000000.0,-100000000.0,-100000000.0,-2000000.0,-43000000.0,
Net Issuance Payments Of Debt,-815000000.0,-526000000.0,-330000000.0,-373000000.0,-548000000.0,
Net Short Term Debt Issuance,-766000000.0,433000000.0,-230000000.0,127000000.0,65000000.0,
Net Long Term Debt Issuance,-49000000.0,-959000000.0,-100000000.0,-500000000.0,-613000000.0,
Long Term Debt Payments,-49000000.0,-1805000000.0,-100000000.0,-500000000.0,-2113000000.0,
Long Term Debt Issuance,0.0,846000000.0,0.0,0.0,1500000000.0,
Investing Cash Flow,-95000000.0,-786000000.0,83000000.0,-855000000.0,-64000000.0,
Cash Flow From Continuing Investing Activities,-95000000.0,-786000000.0,83000000.0,-855000000.0,-64000000.0,
Net Other Investing Changes,572000000.0,4000000.0,777000000.0,76000000.0,692000000.0,
Net Investment Purchase And Sale,,,,,,428000000.0
Sale Of Investment,,,,,,428000000.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,0.0,
Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-667000000.0,-790000000.0,-694000000.0,-931000000.0,-756000000.0,
Purchase Of PPE,-667000000.0,-790000000.0,-694000000.0,-931000000.0,-756000000.0,
Operating Cash Flow,1181000000.0,1096000000.0,1036000000.0,1339000000.0,877000000.0,
Cash Flow From Continuing Operating Activities,1181000000.0,1096000000.0,1036000000.0,1339000000.0,877000000.0,
Change In Working Capital,200000000.0,45000000.0,-107000000.0,221000000.0,-190000000.0,
Change In Other Working Capital,-40000000.0,-18000000.0,-66000000.0,-43000000.0,-76000000.0,
Change In Payables And Accrued Expense,-37000000.0,-320000000.0,322000000.0,-25000000.0,-42000000.0,
Change In Accrued Expense,-6000000.0,-198000000.0,50000000.0,41000000.0,120000000.0,
Change In Payable,-31000000.0,-122000000.0,272000000.0,-66000000.0,-162000000.0,
Change In Account Payable,-31000000.0,-122000000.0,272000000.0,-66000000.0,-162000000.0,
Change In Prepaid Assets,-19000000.0,241000000.0,-93000000.0,31000000.0,32000000.0,
Change In Inventory,-9000000.0,14000000.0,15000000.0,-24000000.0,15000000.0,
Change In Receivables,305000000.0,128000000.0,-285000000.0,282000000.0,-119000000.0,
Other Non Cash Items,76000000.0,63000000.0,295000000.0,0.0,115000000.0,
Asset Impairment Charge,,,18000000.0,1111000000.0,,
Deferred Tax,131000000.0,39000000.0,-233000000.0,-461000000.0,23000000.0,
Deferred Income Tax,131000000.0,39000000.0,-233000000.0,-461000000.0,23000000.0,
Depreciation Amortization Depletion,530000000.0,643000000.0,653000000.0,595000000.0,588000000.0,
Operating Gains Losses,-421000000.0,-112000000.0,-15000000.0,12000000.0,-279000000.0,
Gain Loss On Investment Securities,-136000000.0,28000000.0,-10000000.0,13000000.0,-3000000.0,
Gain Loss On Sale Of Business,-282000000.0,2000000.0,-5000000.0,-1000000.0,-276000000.0,
Net Income From Continuing Operations,665000000.0,418000000.0,425000000.0,-139000000.0,620000000.0,
