,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,3745000000.0,4334000000.0,5283000000.0,-2267000000.0,3967000000.0,
Repurchase Of Capital Stock,-1356000000.0,-1208000000.0,-1031000000.0,-1935000000.0,-1762000000.0,
Repayment Of Debt,-4361000000.0,-3534000000.0,-3401000000.0,-3207000000.0,-2901000000.0,
Issuance Of Debt,11018000000.0,4899000000.0,83000000.0,4161000000.0,5495000000.0,
Issuance Of Capital Stock,0.0,22000000.0,51000000.0,3000000.0,17000000.0,
Capital Expenditure,-619000000.0,-430000000.0,-495000000.0,-455000000.0,-565000000.0,
End Cash Position,57937000000.0,52508000000.0,40640000000.0,47918000000.0,52895000000.0,
Beginning Cash Position,52508000000.0,40640000000.0,47918000000.0,52895000000.0,54213000000.0,
Effect Of Exchange Rate Changes,184000000.0,10000000.0,-41000000.0,7000000.0,-34000000.0,
Changes In Cash,5245000000.0,11858000000.0,-7237000000.0,-4984000000.0,-1284000000.0,
Financing Cash Flow,7678000000.0,6643000000.0,-770000000.0,350000000.0,-325000000.0,
Cash Flow From Continuing Financing Activities,7678000000.0,6643000000.0,-770000000.0,350000000.0,-325000000.0,
Cash Dividends Paid,-593000000.0,-509000000.0,-510000000.0,-516000000.0,-521000000.0,
Common Stock Dividend Paid,-593000000.0,-509000000.0,,,-521000000.0,-452000000.0
Net Common Stock Issuance,-1356000000.0,-1186000000.0,-980000000.0,-1932000000.0,-1745000000.0,
Common Stock Payments,-1356000000.0,-1208000000.0,-1031000000.0,-1935000000.0,-1762000000.0,
Common Stock Issuance,0.0,22000000.0,51000000.0,3000000.0,17000000.0,
Net Issuance Payments Of Debt,6657000000.0,1365000000.0,-3280000000.0,1123000000.0,2594000000.0,
Net Short Term Debt Issuance,-110000000.0,131000000.0,38000000.0,-310000000.0,-39000000.0,
Short Term Debt Issuance,-110000000.0,131000000.0,,,-39000000.0,518000000.0
Net Long Term Debt Issuance,6767000000.0,1234000000.0,-3318000000.0,1433000000.0,2633000000.0,
Long Term Debt Payments,-4361000000.0,-3534000000.0,-3401000000.0,-3207000000.0,-2901000000.0,
Long Term Debt Issuance,11128000000.0,4768000000.0,83000000.0,4640000000.0,5534000000.0,
Investing Cash Flow,-6797000000.0,451000000.0,-12245000000.0,-3522000000.0,-5491000000.0,
Cash Flow From Continuing Investing Activities,-6797000000.0,451000000.0,-12245000000.0,-3522000000.0,-5491000000.0,
Net Investment Purchase And Sale,-227000000.0,46000000.0,-72000000.0,-103000000.0,926000000.0,
Sale Of Investment,303000000.0,285000000.0,311000000.0,345000000.0,1281000000.0,
Purchase Of Investment,-530000000.0,-239000000.0,-383000000.0,-448000000.0,-355000000.0,
Net Business Purchase And Sale,,,-364000000.0,-80000000.0,584000000.0,0.0
Sale Of Business,,,0.0,10000000.0,,
Purchase Of Business,,,-364000000.0,-90000000.0,,
Net PPE Purchase And Sale,-619000000.0,-430000000.0,-495000000.0,-455000000.0,-565000000.0,
Sale Of PPE,,,,,,1000000.0
Purchase Of PPE,-619000000.0,-430000000.0,-495000000.0,-455000000.0,-565000000.0,
Operating Cash Flow,4364000000.0,4764000000.0,5778000000.0,-1812000000.0,4532000000.0,
Cash Flow From Continuing Operating Activities,4364000000.0,4764000000.0,5778000000.0,-1812000000.0,4532000000.0,
Change In Working Capital,37000000.0,246000000.0,2081000000.0,-6147000000.0,569000000.0,
Change In Other Current Assets,-1170000000.0,18000000.0,1229000000.0,-285000000.0,-132000000.0,
Change In Payables And Accrued Expense,1207000000.0,228000000.0,852000000.0,-5862000000.0,701000000.0,
Change In Payable,1207000000.0,228000000.0,852000000.0,-5862000000.0,701000000.0,
Change In Account Payable,1207000000.0,228000000.0,852000000.0,-5862000000.0,701000000.0,
Other Non Cash Items,-152000000.0,213000000.0,-231000000.0,395000000.0,-535000000.0,
Stock Based Compensation,127000000.0,158000000.0,111000000.0,113000000.0,104000000.0,
Deferred Tax,-365000000.0,-20000000.0,-73000000.0,-473000000.0,-310000000.0,
Deferred Income Tax,-365000000.0,-20000000.0,-73000000.0,-473000000.0,-310000000.0,
Depreciation Amortization Depletion,427000000.0,433000000.0,428000000.0,437000000.0,421000000.0,
Depreciation And Amortization,427000000.0,433000000.0,428000000.0,437000000.0,421000000.0,
Net Income From Continuing Operations,2885000000.0,2584000000.0,2170000000.0,2507000000.0,3015000000.0,
