,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,313400000.0,898200000.0,-734200000.0,-590500000.0,1476100000.0,
Repurchase Of Capital Stock,-36700000.0,-30000000.0,-500000.0,-26400000.0,-101300000.0,
Repayment Of Debt,,,0.0,0.0,,
Capital Expenditure,-20300000.0,-14700000.0,-23800000.0,-12000000.0,-17800000.0,
Interest Paid Supplemental Data,19900000.0,26700000.0,18100000.0,19600000.0,45000000.0,
Income Tax Paid Supplemental Data,140600000.0,8000000.0,91000000.0,93100000.0,101700000.0,
End Cash Position,2956900000.0,2670200000.0,1765800000.0,2802200000.0,3348600000.0,
Beginning Cash Position,2670200000.0,1765800000.0,2802200000.0,3348600000.0,2085800000.0,
Effect Of Exchange Rate Changes,173700000.0,125700000.0,-128500000.0,74800000.0,-16400000.0,
Changes In Cash,113000000.0,778700000.0,-907900000.0,-621200000.0,1279200000.0,
Financing Cash Flow,-103800000.0,-114500000.0,-70700000.0,-78100000.0,-177600000.0,
Cash Flow From Continuing Financing Activities,-103800000.0,-114500000.0,-70700000.0,-78100000.0,-177600000.0,
Net Other Financing Charges,,,0.0,-900000.0,-16000000.0,-3000000.0
Proceeds From Stock Option Exercised,-700000.0,-18100000.0,-3800000.0,15500000.0,-2100000.0,
Cash Dividends Paid,-66400000.0,-66400000.0,-66400000.0,-66300000.0,-58200000.0,
Common Stock Dividend Paid,-66400000.0,-66400000.0,-66400000.0,-66300000.0,-58200000.0,
Net Common Stock Issuance,-36700000.0,-30000000.0,-500000.0,-26400000.0,-101300000.0,
Common Stock Payments,-36700000.0,-30000000.0,-500000.0,-26400000.0,-101300000.0,
Net Issuance Payments Of Debt,,,0.0,0.0,,
Net Long Term Debt Issuance,,,0.0,,,
Investing Cash Flow,-116900000.0,-19700000.0,-126800000.0,35400000.0,-37100000.0,
Cash Flow From Continuing Investing Activities,-116900000.0,-19700000.0,-126800000.0,35400000.0,-37100000.0,
Net Other Investing Changes,,,2800000.0,0.0,0.0,100000.0
Net Investment Purchase And Sale,-97100000.0,-5300000.0,-105800000.0,47300000.0,-23300000.0,
Sale Of Investment,0.0,74900000.0,0.0,47300000.0,0.0,
Purchase Of Investment,-97100000.0,-80200000.0,-105800000.0,0.0,-23300000.0,
Net Investment Properties Purchase And Sale,,,0.0,0.0,,
Sale Of Investment Properties,,,0.0,0.0,,
Net Intangibles Purchase And Sale,,300000.0,,,0.0,0.0
Sale Of Intangibles,,300000.0,,,0.0,0.0
Net PPE Purchase And Sale,-19500000.0,-14700000.0,-23900000.0,-11900000.0,-17100000.0,
Sale Of PPE,,,-100000.0,100000.0,,
Purchase Of PPE,-20300000.0,-14700000.0,-23800000.0,-12000000.0,-17800000.0,
Operating Cash Flow,333700000.0,912900000.0,-710400000.0,-578500000.0,1493900000.0,
Cash Flow From Continuing Operating Activities,333700000.0,912900000.0,-710400000.0,-578500000.0,1493900000.0,
Change In Working Capital,43700000.0,627700000.0,-963900000.0,-837300000.0,1248300000.0,
Change In Other Working Capital,-106300000.0,666000000.0,-1086800000.0,-763900000.0,1190200000.0,
Change In Other Current Liabilities,16000000.0,18600000.0,15900000.0,13700000.0,14900000.0,
Change In Other Current Assets,14600000.0,1600000.0,900000.0,-1900000.0,-3400000.0,
Change In Payables And Accrued Expense,89500000.0,-90000000.0,221600000.0,-81500000.0,78200000.0,
Change In Payable,89500000.0,-90000000.0,221600000.0,-81500000.0,78200000.0,
Change In Account Payable,13200000.0,-69100000.0,78300000.0,-1400000.0,200000.0,
Change In Tax Payable,-7300000.0,6300000.0,1400000.0,400000.0,100000.0,
Change In Income Tax Payable,-7300000.0,6300000.0,1400000.0,400000.0,100000.0,
Change In Receivables,29900000.0,31500000.0,-115500000.0,-3700000.0,-31600000.0,
Changes In Account Receivables,69000000.0,-40900000.0,-88600000.0,8500000.0,-3500000.0,
Other Non Cash Items,2500000.0,-5700000.0,-1500000.0,400000.0,-800000.0,
Stock Based Compensation,13300000.0,12400000.0,9700000.0,10100000.0,10300000.0,
Unrealized Gain Loss On Investment Securities,,,,,-500000.0,-400000.0
Provisionand Write Offof Assets,1300000.0,900000.0,0.0,1500000.0,100000.0,
Asset Impairment Charge,,,14100000.0,1500000.0,97000000.0,300000.0
Deferred Tax,-12900000.0,-6200000.0,400000.0,-2800000.0,-19500000.0,
Deferred Income Tax,-12900000.0,-6200000.0,400000.0,-2800000.0,-19500000.0,
Depreciation Amortization Depletion,29900000.0,30300000.0,32100000.0,31800000.0,31800000.0,
Depreciation And Amortization,29900000.0,30300000.0,32100000.0,31800000.0,31800000.0,
Amortization Cash Flow,,,,,23800000.0,28700000.0
Amortization Of Intangibles,,,,,23800000.0,28700000.0
Depreciation,,,,,8000000.0,8600000.0
Operating Gains Losses,3700000.0,2900000.0,2200000.0,-2200000.0,-13700000.0,
Earnings Losses From Equity Investments,3700000.0,2900000.0,-200000.0,200000.0,-13700000.0,
Gain Loss On Sale Of PPE,,,,-100000.0,,
Net Income From Continuing Operations,235100000.0,250600000.0,196500000.0,218500000.0,140400000.0,
