,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-45000000.0,59000000.0,-6000000.0,34000000.0,264000000.0,
Repayment Of Debt,-39000000.0,-33000000.0,-1040000000.0,-41000000.0,-33000000.0,
Issuance Of Debt,1696000000.0,370000000.0,1244000000.0,780000000.0,744000000.0,
Issuance Of Capital Stock,0.0,99000000.0,697000000.0,976000000.0,0.0,
Capital Expenditure,-989000000.0,-750000000.0,-987000000.0,-724000000.0,-648000000.0,
End Cash Position,3690000000.0,2962000000.0,3082000000.0,2776000000.0,1996000000.0,
Beginning Cash Position,2962000000.0,3082000000.0,2776000000.0,1996000000.0,1530000000.0,
Effect Of Exchange Rate Changes,33000000.0,20000000.0,-42000000.0,39000000.0,-6000000.0,
Changes In Cash,695000000.0,-140000000.0,348000000.0,741000000.0,472000000.0,
Financing Cash Flow,1191000000.0,15000000.0,478000000.0,1348000000.0,294000000.0,
Cash Flow From Continuing Financing Activities,1191000000.0,15000000.0,478000000.0,1348000000.0,294000000.0,
Net Other Financing Charges,-6000000.0,-3000000.0,-9000000.0,2000000.0,,
Proceeds From Stock Option Exercised,0.0,50000000.0,-1000000.0,44000000.0,0.0,
Cash Dividends Paid,-460000000.0,-468000000.0,-413000000.0,-413000000.0,-405000000.0,
Common Stock Dividend Paid,-460000000.0,-468000000.0,-413000000.0,-413000000.0,-405000000.0,
Net Common Stock Issuance,0.0,99000000.0,697000000.0,976000000.0,0.0,
Common Stock Issuance,0.0,99000000.0,697000000.0,976000000.0,0.0,
Net Issuance Payments Of Debt,1657000000.0,337000000.0,204000000.0,739000000.0,711000000.0,
Net Long Term Debt Issuance,1657000000.0,337000000.0,204000000.0,739000000.0,711000000.0,
Long Term Debt Payments,-39000000.0,-33000000.0,-1040000000.0,-41000000.0,-33000000.0,
Long Term Debt Issuance,1696000000.0,370000000.0,1244000000.0,780000000.0,744000000.0,
Investing Cash Flow,-1440000000.0,-964000000.0,-1111000000.0,-1365000000.0,-734000000.0,
Cash Flow From Continuing Investing Activities,-1440000000.0,-964000000.0,-1111000000.0,-1365000000.0,-734000000.0,
Net Other Investing Changes,-27000000.0,32000000.0,18000000.0,0.0,,
Dividends Received Cfi,0.0,4000000.0,,,0.0,0.0
Net Investment Purchase And Sale,-155000000.0,-190000000.0,-5000000.0,-515000000.0,0.0,
Purchase Of Investment,-605000000.0,-190000000.0,-5000000.0,-515000000.0,0.0,
Net Investment Properties Purchase And Sale,-82000000.0,-17000000.0,-50000000.0,-162000000.0,-108000000.0,
Purchase Of Investment Properties,-82000000.0,-17000000.0,-50000000.0,-162000000.0,-108000000.0,
Net Business Purchase And Sale,-187000000.0,-43000000.0,,,-33000000.0,-3000000.0
Purchase Of Business,-187000000.0,-43000000.0,,,-33000000.0,-3000000.0
Net PPE Purchase And Sale,-989000000.0,-750000000.0,-987000000.0,-724000000.0,-648000000.0,
Purchase Of PPE,-989000000.0,-750000000.0,-987000000.0,-724000000.0,-648000000.0,
Operating Cash Flow,944000000.0,809000000.0,981000000.0,758000000.0,912000000.0,
Cash Flow From Continuing Operating Activities,944000000.0,809000000.0,981000000.0,758000000.0,912000000.0,
Change In Working Capital,-77000000.0,-126000000.0,129000000.0,-182000000.0,-16000000.0,
Change In Other Working Capital,-43000000.0,-2000000.0,5000000.0,-17000000.0,12000000.0,
Change In Other Current Liabilities,-23000000.0,-48000000.0,-41000000.0,-41000000.0,6000000.0,
Change In Other Current Assets,25000000.0,206000000.0,-208000000.0,-10000000.0,-38000000.0,
Change In Payables And Accrued Expense,0.0,-149000000.0,193000000.0,-102000000.0,60000000.0,
Change In Payable,0.0,-149000000.0,,-102000000.0,60000000.0,-56000000.0
Change In Account Payable,0.0,-149000000.0,,-102000000.0,60000000.0,-56000000.0
Change In Receivables,-36000000.0,-133000000.0,180000000.0,-12000000.0,-56000000.0,
Changes In Account Receivables,-36000000.0,-133000000.0,180000000.0,-12000000.0,-56000000.0,
Other Non Cash Items,30000000.0,-3000000.0,13000000.0,-3000000.0,33000000.0,
Stock Based Compensation,127000000.0,113000000.0,114000000.0,122000000.0,125000000.0,
Provisionand Write Offof Assets,,3000000.0,-7000000.0,23000000.0,4000000.0,1000000.0
Depreciation Amortization Depletion,499000000.0,479000000.0,498000000.0,496000000.0,489000000.0,
Depreciation And Amortization,499000000.0,479000000.0,498000000.0,496000000.0,489000000.0,
Amortization Cash Flow,50000000.0,48000000.0,53000000.0,52000000.0,51000000.0,
Amortization Of Intangibles,50000000.0,48000000.0,53000000.0,52000000.0,51000000.0,
Depreciation,449000000.0,431000000.0,445000000.0,444000000.0,438000000.0,
Operating Gains Losses,,,15000000.0,1000000.0,-19000000.0,1000000.0
Net Income From Continuing Operations,367000000.0,343000000.0,-14000000.0,296000000.0,301000000.0,
