,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,1254000000.0,1877000000.0,1824000000.0,1942000000.0,1061000000.0
Repurchase Of Capital Stock,-505000000.0,-477000000.0,-503000000.0,-469000000.0,-934000000.0
Repayment Of Debt,-700000000.0,-693000000.0,-992000000.0,0.0,-500000000.0
Issuance Of Debt,1403000000.0,1498000000.0,649000000.0,0.0,1731000000.0
Capital Expenditure,-744000000.0,-551000000.0,-807000000.0,-794000000.0,-628000000.0
End Cash Position,1876000000.0,1238000000.0,1085000000.0,1221000000.0,792000000.0
Beginning Cash Position,1238000000.0,1085000000.0,1221000000.0,792000000.0,838000000.0
Effect Of Exchange Rate Changes,65000000.0,39000000.0,-148000000.0,46000000.0,-21000000.0
Changes In Cash,573000000.0,114000000.0,12000000.0,383000000.0,-25000000.0
Financing Cash Flow,-555000000.0,-1543000000.0,-1878000000.0,-1087000000.0,-869000000.0
Cash Flow From Continuing Financing Activities,-555000000.0,-1543000000.0,-1876000000.0,-1087000000.0,-869000000.0
Net Other Financing Charges,-126000000.0,40000000.0,-32000000.0,-27000000.0,13000000.0
Proceeds From Stock Option Exercised,41000000.0,147000000.0,75000000.0,132000000.0,22000000.0
Cash Dividends Paid,-1265000000.0,-1266000000.0,-1268000000.0,-1197000000.0,-1199000000.0
Common Stock Dividend Paid,-1265000000.0,-1266000000.0,-1268000000.0,-1197000000.0,-1199000000.0
Net Common Stock Issuance,-505000000.0,-477000000.0,-503000000.0,-469000000.0,-934000000.0
Common Stock Payments,-505000000.0,-477000000.0,-503000000.0,-469000000.0,-934000000.0
Net Issuance Payments Of Debt,1300000000.0,13000000.0,-150000000.0,474000000.0,1229000000.0
Net Short Term Debt Issuance,597000000.0,-792000000.0,193000000.0,474000000.0,-2000000.0
Net Long Term Debt Issuance,703000000.0,805000000.0,-343000000.0,0.0,1231000000.0
Long Term Debt Payments,-700000000.0,-693000000.0,-992000000.0,0.0,-500000000.0
Long Term Debt Issuance,1403000000.0,1498000000.0,649000000.0,0.0,1731000000.0
Investing Cash Flow,-869000000.0,-771000000.0,-742000000.0,-1266000000.0,-846000000.0
Cash Flow From Continuing Investing Activities,-869000000.0,-772000000.0,-742000000.0,-1266000000.0,-846000000.0
Net Other Investing Changes,-114000000.0,-199000000.0,-106000000.0,-103000000.0,-165000000.0
Net Business Purchase And Sale,-22000000.0,-26000000.0,81000000.0,-379000000.0,-67000000.0
Sale Of Business,34000000.0,49000000.0,155000000.0,54000000.0,60000000.0
Purchase Of Business,-56000000.0,-75000000.0,-74000000.0,-433000000.0,-127000000.0
Net PPE Purchase And Sale,11000000.0,5000000.0,90000000.0,10000000.0,14000000.0
Sale Of PPE,11000000.0,5000000.0,90000000.0,10000000.0,14000000.0
Capital Expenditure Reported,-744000000.0,-551000000.0,-807000000.0,-794000000.0,-628000000.0
Operating Cash Flow,1998000000.0,2428000000.0,2631000000.0,2736000000.0,1689000000.0
Cash Flow From Continuing Operating Activities,1998000000.0,2427000000.0,2630000000.0,2736000000.0,1689000000.0
Change In Working Capital,-731000000.0,111000000.0,76000000.0,79000000.0,-663000000.0
Other Non Cash Items,-71000000.0,-72000000.0,52000000.0,-33000000.0,16000000.0
Stock Based Compensation,44000000.0,45000000.0,44000000.0,40000000.0,38000000.0
Deferred Tax,-41000000.0,-44000000.0,-73000000.0,-137000000.0,-226000000.0
Deferred Income Tax,-41000000.0,-44000000.0,-73000000.0,-137000000.0,-226000000.0
Depreciation Amortization Depletion,544000000.0,520000000.0,553000000.0,532000000.0,502000000.0
Depreciation And Amortization,544000000.0,520000000.0,553000000.0,532000000.0,502000000.0
Net Income From Continuing Operations,2253000000.0,1868000000.0,2016000000.0,2255000000.0,2022000000.0
