,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,212489000.0,177194000.0,224911000.0,233245000.0,233696000.0,
Repurchase Of Capital Stock,-218748000.0,-218749000.0,-212500000.0,-212499000.0,-212499000.0,
Repayment Of Debt,-584046000.0,-479326000.0,-598429000.0,-559670000.0,-598912000.0,
Issuance Of Debt,610082000.0,512496000.0,594916000.0,539071000.0,572715000.0,
Capital Expenditure,-23877000.0,-17255000.0,-41276000.0,-21421000.0,-23810000.0,
End Cash Position,61825000.0,64291000.0,59362000.0,71574000.0,70810000.0,
Beginning Cash Position,64291000.0,59362000.0,71574000.0,70810000.0,70191000.0,
Effect Of Exchange Rate Changes,-5178000.0,1532000.0,-3654000.0,2639000.0,-754000.0,
Changes In Cash,2712000.0,3397000.0,-8558000.0,-1875000.0,1373000.0,
Financing Cash Flow,-186004000.0,-184145000.0,-223693000.0,-218898000.0,-234301000.0,
Cash Flow From Continuing Financing Activities,-186004000.0,-184145000.0,-223693000.0,-218898000.0,-234301000.0,
Net Other Financing Charges,-156000.0,-764000.0,-9060000.0,-3000.0,,
Proceeds From Stock Option Exercised,6864000.0,2198000.0,1380000.0,14203000.0,6305000.0,
Net Common Stock Issuance,-218748000.0,-218749000.0,-212500000.0,-212499000.0,-212499000.0,
Common Stock Payments,-218748000.0,-218749000.0,-212500000.0,-212499000.0,-212499000.0,
Net Issuance Payments Of Debt,26036000.0,33170000.0,-3513000.0,-20599000.0,-26197000.0,
Net Short Term Debt Issuance,,,,,,31583000.0
Short Term Debt Payments,,,,,,-418280000.0
Short Term Debt Issuance,,,,,,449863000.0
Net Long Term Debt Issuance,26036000.0,33170000.0,-3513000.0,-20599000.0,-26197000.0,
Long Term Debt Payments,-584046000.0,-479326000.0,-598429000.0,-559670000.0,-598912000.0,
Long Term Debt Issuance,610082000.0,512496000.0,594916000.0,539071000.0,572715000.0,
Investing Cash Flow,-47650000.0,-6907000.0,-51052000.0,-37643000.0,-21832000.0,
Cash Flow From Continuing Investing Activities,-47650000.0,-6907000.0,-51052000.0,-37643000.0,-21832000.0,
Net Other Investing Changes,-20858000.0,10348000.0,-3056000.0,-16287000.0,2783000.0,
Net Business Purchase And Sale,-2915000.0,0.0,-7618000.0,0.0,-1473000.0,
Purchase Of Business,-2915000.0,0.0,-7618000.0,0.0,-1473000.0,
Net PPE Purchase And Sale,-23877000.0,-17255000.0,-40378000.0,-21356000.0,-23142000.0,
Sale Of PPE,,,898000.0,65000.0,,
Purchase Of PPE,-23877000.0,-17255000.0,-41276000.0,-21421000.0,-23810000.0,
Operating Cash Flow,236366000.0,194449000.0,266187000.0,254666000.0,257506000.0,
Cash Flow From Continuing Operating Activities,236366000.0,194449000.0,266187000.0,254666000.0,257506000.0,
Change In Working Capital,146000.0,-3055000.0,-23179000.0,8936000.0,25378000.0,
Change In Other Current Assets,-548000.0,-1778000.0,760000.0,4415000.0,1279000.0,
Change In Payables And Accrued Expense,28854000.0,-50591000.0,36383000.0,-16442000.0,7950000.0,
Change In Accrued Expense,17390000.0,-52693000.0,34117000.0,-9135000.0,3445000.0,
Change In Payable,11464000.0,2102000.0,2266000.0,-7307000.0,4505000.0,
Change In Account Payable,7436000.0,-16111000.0,19890000.0,-2945000.0,11082000.0,
Change In Tax Payable,4028000.0,18213000.0,-17624000.0,-4362000.0,-6577000.0,
Change In Income Tax Payable,4028000.0,18213000.0,-17624000.0,-4362000.0,-6577000.0,
Change In Inventory,-8145000.0,-9917000.0,15293000.0,5751000.0,7037000.0,
Change In Receivables,-20015000.0,59231000.0,-75615000.0,15212000.0,9112000.0,
Changes In Account Receivables,-20015000.0,59231000.0,-75615000.0,15212000.0,9112000.0,
Stock Based Compensation,5382000.0,5139000.0,6357000.0,4359000.0,4541000.0,
Deferred Tax,-1961000.0,-879000.0,-155000.0,-1224000.0,-24756000.0,
Deferred Income Tax,-1961000.0,-879000.0,-155000.0,-1224000.0,-24756000.0,
Depreciation Amortization Depletion,30451000.0,29657000.0,30863000.0,31079000.0,30529000.0,
Depreciation And Amortization,30451000.0,29657000.0,30863000.0,31079000.0,30529000.0,
Amortization Cash Flow,17581000.0,17193000.0,18220000.0,18243000.0,18178000.0,
Amortization Of Intangibles,17581000.0,17193000.0,18220000.0,18243000.0,18178000.0,
Depreciation,12870000.0,12464000.0,12643000.0,12836000.0,12351000.0,
Net Income From Continuing Operations,202348000.0,163587000.0,252301000.0,211516000.0,221814000.0,
