,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Ordinary Shares Number,159210000.0,160674000.0,161722000.0,162959000.0,161802000.0,
Share Issued,159210000.0,160674000.0,161722000.0,162959000.0,161802000.0,
Total Debt,74461000.0,68763000.0,76621000.0,79462000.0,80163000.0,
Tangible Book Value,2258598000.0,2370215000.0,2408000000.0,2461842000.0,2300237000.0,
Invested Capital,2837301000.0,2797499000.0,2819294000.0,2902542000.0,2730812000.0,
Working Capital,908342000.0,1106535000.0,1191818000.0,1243970000.0,1130019000.0,
Net Tangible Assets,2258598000.0,2370215000.0,2408000000.0,2461842000.0,2300237000.0,
Capital Lease Obligations,74461000.0,68763000.0,76621000.0,79462000.0,80163000.0,
Common Stock Equity,2837301000.0,2797499000.0,2819294000.0,2902542000.0,2730812000.0,
Total Capitalization,2837301000.0,2797499000.0,2819294000.0,2902542000.0,2730812000.0,
Total Equity Gross Minority Interest,2837301000.0,2797499000.0,2819294000.0,2902542000.0,2730812000.0,
Stockholders Equity,2837301000.0,2797499000.0,2819294000.0,2902542000.0,2730812000.0,
Gains Losses Not Affecting Retained Earnings,41036000.0,-41992000.0,-81220000.0,-4028000.0,-44104000.0,
Other Equity Adjustments,41036000.0,-41992000.0,-81220000.0,-4028000.0,-44104000.0,
Retained Earnings,834863000.0,893227000.0,970761000.0,990039000.0,889340000.0,
Additional Paid In Capital,1941501000.0,1926180000.0,1909538000.0,1896161000.0,1865351000.0,
Capital Stock,19901000.0,20084000.0,20215000.0,20370000.0,20225000.0,
Common Stock,19901000.0,20084000.0,20215000.0,20370000.0,20225000.0,
Total Liabilities Net Minority Interest,924561000.0,908338000.0,889420000.0,867186000.0,900894000.0,
Total Non Current Liabilities Net Minority Interest,249296000.0,259272000.0,264841000.0,272290000.0,274520000.0,
Liabilities Heldfor Sale Non Current,,,0.0,0.0,0.0,1938000.0
Employee Benefits,139249000.0,136228000.0,133338000.0,137735000.0,135167000.0,
Non Current Pension And Other Postretirement Benefit Plans,139249000.0,136228000.0,133338000.0,137735000.0,135167000.0,
Non Current Accrued Expenses,8186000.0,7718000.0,7442000.0,8373000.0,16632000.0,
Tradeand Other Payables Non Current,0.0,24596000.0,24596000.0,24596000.0,24596000.0,
Non Current Deferred Liabilities,47170000.0,40307000.0,41543000.0,41299000.0,36242000.0,
Non Current Deferred Revenue,40414000.0,39438000.0,40505000.0,41135000.0,36146000.0,
Non Current Deferred Taxes Liabilities,6756000.0,869000.0,1038000.0,164000.0,96000.0,
Long Term Debt And Capital Lease Obligation,54691000.0,50423000.0,57922000.0,60287000.0,61883000.0,
Long Term Capital Lease Obligation,54691000.0,50423000.0,57922000.0,60287000.0,61883000.0,
Current Liabilities,675265000.0,649066000.0,624579000.0,594896000.0,626374000.0,
Other Current Liabilities,,,,,,4687000.0
Current Deferred Liabilities,123989000.0,119886000.0,107710000.0,99776000.0,102988000.0,
Current Deferred Revenue,123989000.0,119886000.0,107710000.0,99776000.0,102988000.0,
Current Debt And Capital Lease Obligation,19770000.0,18340000.0,18699000.0,19175000.0,18280000.0,
Current Capital Lease Obligation,19770000.0,18340000.0,18699000.0,19175000.0,18280000.0,
Pensionand Other Post Retirement Benefit Plans Current,176482000.0,143019000.0,204991000.0,159794000.0,161187000.0,
Payables And Accrued Expenses,355024000.0,367821000.0,293179000.0,316151000.0,343919000.0,
Current Accrued Expenses,110143000.0,100058000.0,90777000.0,105150000.0,108746000.0,
Payables,244881000.0,267763000.0,202402000.0,211001000.0,235173000.0,
Total Tax Payable,72856000.0,80729000.0,67610000.0,52542000.0,74365000.0,
Income Tax Payable,72856000.0,80729000.0,67610000.0,52542000.0,74365000.0,
Accounts Payable,172025000.0,187034000.0,134792000.0,158459000.0,160808000.0,
Total Assets,3761862000.0,3705837000.0,3708714000.0,3769728000.0,3631706000.0,
Total Non Current Assets,2178255000.0,1950236000.0,1892317000.0,1930862000.0,1875313000.0,
Other Non Current Assets,54503000.0,51832000.0,49620000.0,48384000.0,47923000.0,
Defined Pension Benefit,11922000.0,12193000.0,11994000.0,13114000.0,11293000.0,
Non Current Deferred Assets,239809000.0,230937000.0,222438000.0,201881000.0,192901000.0,
Non Current Deferred Taxes Assets,239809000.0,230937000.0,222438000.0,201881000.0,192901000.0,
Investments And Advances,666098000.0,623380000.0,618615000.0,664295000.0,647783000.0,
Investmentin Financial Assets,120684000.0,113754000.0,124121000.0,125944000.0,123723000.0,
Available For Sale Securities,120684000.0,113754000.0,124121000.0,125944000.0,123723000.0,
Long Term Equity Investment,545414000.0,509626000.0,494494000.0,538351000.0,524060000.0,
Investments In Other Ventures Under Equity Method,545414000.0,509626000.0,494494000.0,538351000.0,524060000.0,
Goodwill And Other Intangible Assets,578703000.0,427284000.0,411294000.0,440700000.0,430575000.0,
Other Intangible Assets,58233000.0,17971000.0,15927000.0,21288000.0,25465000.0,
Goodwill,520470000.0,409313000.0,395367000.0,419412000.0,405110000.0,
Net PPE,627220000.0,604610000.0,578356000.0,562488000.0,544838000.0,
Accumulated Depreciation,,,-953890000.0,,,
Gross PPE,627220000.0,604610000.0,1532246000.0,562488000.0,544838000.0,
Leases,,,67387000.0,,,
Construction In Progress,,,5678000.0,,,
Other Properties,627220000.0,604610000.0,70185000.0,562488000.0,544838000.0,
Machinery Furniture Equipment,,,1186216000.0,,,
Buildings And Improvements,,,183371000.0,,,
Land And Improvements,,,19409000.0,,,
Properties,,,0.0,,,
Current Assets,1583607000.0,1755601000.0,1816397000.0,1838866000.0,1756393000.0,
Other Current Assets,19230000.0,18635000.0,17727000.0,15935000.0,20884000.0,
Assets Held For Sale Current,,,0.0,0.0,0.0,22426000.0
Prepaid Assets,412981000.0,423729000.0,429086000.0,489548000.0,515906000.0,
Inventory,350505000.0,345063000.0,298492000.0,297340000.0,288748000.0,
Finished Goods,35369000.0,44572000.0,30613000.0,33072000.0,21730000.0,
Work In Process,51142000.0,50680000.0,41964000.0,48249000.0,43493000.0,
Raw Materials,263994000.0,249811000.0,225915000.0,216019000.0,223525000.0,
Receivables,433001000.0,460397000.0,471426000.0,484376000.0,470297000.0,
Accounts Receivable,433001000.0,460397000.0,471426000.0,484376000.0,470297000.0,
Allowance For Doubtful Accounts Receivable,-1708000.0,-2170000.0,-2111000.0,-1972000.0,-1944000.0,
Gross Accounts Receivable,434709000.0,462567000.0,473537000.0,486348000.0,472241000.0,
Cash Cash Equivalents And Short Term Investments,367890000.0,507777000.0,599666000.0,551667000.0,460558000.0,
Other Short Term Investments,28638000.0,32145000.0,46312000.0,41631000.0,38654000.0,
Cash And Cash Equivalents,339252000.0,475632000.0,553354000.0,510036000.0,421904000.0,
Cash Equivalents,,,292178000.0,311090000.0,222677000.0,429174000.0
Cash Financial,,,261176000.0,198946000.0,199227000.0,278229000.0
